train_input_1,train_output_1,train_output_2
1M[k% uWgT,"1M[k%
uWgT",9
0{5,0{5,3
"8?JM 7 w7\""","8?JM
7
w7\""",9
4tjl .H4jfU   T(;,"4tjl
.H4jfU


T(;",13
"< aT"" (.|` A!5y V","<
aT""
(.|`
A!5y
V",13
 k>C+$s7 ;t,"
k>C+$s7
;t",9
u/>eT ,"u/>eT
",5
.!& >  e+wU4n!vk<,".!&
>

e+wU4n!vk<",14
"K |@~49""[w ","K
|@~49""[w
",9
  kJ6+T7(1 *rnA,"

kJ6+T7(1
*rnA",12
:.YB3 ` <K,":.YB3
`
<K",8
/@gV4|,/@gV4|,6
&7M &h;] A|  ,"&7M
&h;]
A|

",9
 $tg{.@~In9 _F X$'z ,"
$tg{.@~In9
_F
X$'z
",16
"1 + u ""B  Z  ~","1
+
u
""B

Z

~",7
`/2 rP u$zOKhf O,"`/2
rP
u$zOKhf
O",13
4 *s  HV  a h2^,"4
*s

HV

a
h2^",9
F smIx y xF}Rei q,"F
smIx
y
xF}Rei
q",13
~`a Ra,"~`a
Ra",5
 U,"
U",1
90   ku](: }`B /z4,"90


ku](:
}`B
/z4",13
M /e<GB 18x_Kllq,"M
/e<GB
18x_Kllq",14
   Ox)| &.,"


Ox)|
&.",6
/Md @ ,"/Md
@
",4
tkd&:M,tkd&:M,6
96Qy ;B[Qaq > ,"96Qy
;B[Qaq
>
",11
"csqrRhY?""uu  qK  bY","csqrRhY?""uu

qK

bY",15
" ,'i{rGSU ""U3}5","
,'i{rGSU
""U3}5",13
"{3 rTNkZ""nt ","{3
rTNkZ""nt
",10
$!,$!,2
   vO9|c`P S! H ?  ',"


vO9|c`P
S!
H
?

'",12
a>  /?wa] 1s ,"a>

/?wa]
1s
",9
 8\ Yiv{2 [ b KE,"
8\
Yiv{2
[
b
KE",11
i{rNx,i{rNx,5
 . g+4*(mF+|`|a,"
.
g+4*(mF+|`|a",13
h [IV,"h
[IV",4
  h[,"

h[",2
w_n _E`;  ZhW%   y7 ,"w_n
_E`;

ZhW%


y7
",13
KQ  p,"KQ

p",3
"d aC= 3<""3R/","d
aC=
3<""3R/",10
 UYSx#M1|xl@ |u  ,"
UYSx#M1|xl@
|u

",13
-xW,-xW,3
 H,"
H",1
"og5r7f;z,^k","og5r7f;z,^k",11
|9Y(n[S:685-on_lD,|9Y(n[S:685-on_lD,17
|  F95n 3X A<s,"|

F95n
3X
A<s",10
dK,dK,2
\S)j C( ZG=v/Dy+Ft,"\S)j
C(
ZG=v/Dy+Ft",16
Z4y,Z4y,3
 WrWpf#>fn9pO?,"
WrWpf#>fn9pO?",13
&e A  :V,"&e
A

:V",5
test_input_1,test_output_1,test_output_2
   48] yYeD1E9  [,"


48]
yYeD1E9

[",11
 QM 4s%#O2)7{   _ R,"
QM
4s%#O2)7{


_
R",13
   =,"


=",1
$s]z lp|Sx'Bs}cVE5 ,"$s]z
lp|Sx'Bs}cVE5
",17
P ,"P
",1
 r },"
r
}",2
K\]{s@   l,"K\]{s@


l",7
   &CRaA9BL ,"


&CRaA9BL
",8
{4~ 17 @ /tFbMdL -/0,"{4~
17
@
/tFbMdL
-/0",16
"md=`7CC""q,o & Ef {","md=`7CC""q,o
&
Ef
{",15
vbJz,vbJz,4
u/([,u/([,4
/ Hvcdi4Hj OHEki|Y,"/
Hvcdi4Hj
OHEki|Y",16
 )zc9  :/,"
)zc9

:/",6
|S =* -+Z_oE z&,"|S
=*
-+Z_oE
z&",12
" - z8O{f ?Yn""5} .R|{","
-
z8O{f
?Yn""5}
.R|{",16
4GWwe:,4GWwe:,6
&ap-bJb QWmu#vUV,"&ap-bJb
QWmu#vUV",15
p9GhWBe9y? d S :,"p9GhWBe9y?
d
S
:",13
TE36gb ;,"TE36gb
;",7
3 |yq=0#d? > \],"3
|yq=0#d?
>
\]",12
vr jB,"vr
jB",4
~&wp ]M>G ,"~&wp
]M>G
",8
(%^ZR|9g}4^i^pDihL<|,(%^ZR|9g}4^i^pDihL<|,20
" kN ,e53 f","
kN
,e53
f",7
Jg9  > ,"Jg9

>
",4
"T1w ,   C f+ 5C%?[41","T1w
,


C
f+
5C%?[41",14
 VUb G=.;De |w|(0,"
VUb
G=.;De
|w|(0",14
" 3}\}Ttxi""cjMx","
3}\}Ttxi""cjMx",13
A% 4g ,"A%
4g
",4
"n$LR]m GV,","n$LR]m
GV,",9
#H\}W2e   #b B\: ,"#H\}W2e


#b
B\:
",12
"OC}<% <Sv,Kt[","OC}<%
<Sv,Kt[",12
_Kj=p,_Kj=p,5
   6e+,"


6e+",3
  yw/JAR-aO K<<,"

yw/JAR-aO
K<<",12
)\ \ z] A<F-:}qg,")\
\
z]
A<F-:}qg",13
! f#J)5c:|W  KE8[{y,"!
f#J)5c:|W

KE8[{y",16
({25K+([ 9+w ,"({25K+([
9+w
",11
"'|'X""0 ]mt=m [uO0 ","'|'X""0
]mt=m
[uO0
",15
5W,5W,2
;h rVsqPc  z0m?,";h
rVsqPc

z0m?",12
"k,vP yMl+7","k,vP
yMl+7",9
"A,&{HS* U%Y ","A,&{HS*
U%Y
",10
  rN%w;Elf Ro,"

rN%w;Elf
Ro",10
):,):,2
H3,H3,2
_N 8{qM Y/ ,"_N
8{qM
Y/
",8
V)wN7+:xs,V)wN7+:xs,9
Y  7 VR6,"Y

7
VR6",5
nmo,nmo,3
"NyJRzh WxKi""/","NyJRzh
WxKi""/",12
k5G<W,k5G<W,5
X%B<g1;A9y Hbjxn? p_,"X%B<g1;A9y
Hbjxn?
p_",18
 i5 ,"
i5
",2
TcgI=SmHk4i,TcgI=SmHk4i,11
n&t,n&t,3
6 s Plz_eZ 4,"6
s
Plz_eZ
4",9
.-h>){7 ;KX7 Ux,".-h>){7
;KX7
Ux",13
*c_qy GjuS_ Md|-,"*c_qy
GjuS_
Md|-",14
" ^ 4/Bof3u,!W>wA ","
^
4/Bof3u,!W>wA
",14
v6 l]- {Ji Wc,"v6
l]-
{Ji
Wc",10
"\""% O! ct z \j&qqo<","\""%
O!
ct
z
\j&qqo<",15
&_,&_,2
 s:WN h`0;,"
s:WN
h`0;",8
0 c IHd`uk@K?1z[/,"0
c
IHd`uk@K?1z[/",15
=*5 FJ!P Mq g7,"=*5
FJ!P
Mq
g7",11
KTmD&4MsRD }Y o   D,"KTmD&4MsRD
}Y
o


D",14
nh.W(*~5-!L{f%z,nh.W(*~5-!L{f%z,15
pJotO 1ES P&Y ;mQEo,"pJotO
1ES
P&Y
;mQEo",16
"x; v&~hm6{F, 2~S","x;
v&~hm6{F,
2~S",14
G~xe x>i W 2 PH6  ^,"G~xe
x>i
W
2
PH6

^",13
YG!,YG!,3
"6*qv4)= , U(#5","6*qv4)=
,
U(#5",12
S r Y7| lN,"S
r
Y7|
lN",7
(6$t  {Y),"(6$t

{Y)",7
 L  2n lq N R ,"
L

2n
lq
N
R
",7
" L+7|ZnH,X1YM?bb","
L+7|ZnH,X1YM?bb",15
A7<,A7<,3
  zI +v  =,"

zI
+v

=",5
 p3KK|jhY9,"
p3KK|jhY9",9
i)j P4?tbT/b k2S`,"i)j
P4?tbT/b
k2S`",15
8A F^k u`Sg?D#mW ,"8A
F^k
u`Sg?D#mW
",14
^bz=*^V 0Au RD5,"^bz=*^V
0Au
RD5",13
wxE,wxE,3
eI``rG< [ mQ ,"eI``rG<
[
mQ
",10
K}$og X L%?R'=%t`,"K}$og
X
L%?R'=%t`",15
V|,V|,2
E~kvZ R>8 T,"E~kvZ
R>8
T",9
> ZZ: 66J%`,">
ZZ:
66J%`",9
)lQ]%:TP| ,")lQ]%:TP|
",9
%q`hx8 ph{+)OD,"%q`hx8
ph{+)OD",13
Rf U*G3,"Rf
U*G3",6
g ,"g
",1
W*Z!|ZD_7,W*Z!|ZD_7,9
H  YI( - [q.  rLJ,"H

YI(
-
[q.

rLJ",11
"<!w_,vV )N","<!w_,vV
)N",9
{daz9,{daz9,5
"*cgbOXdYT / aWx{""","*cgbOXdYT
/
aWx{""",15
Fx;  c'OWmhk# TQ3,"Fx;

c'OWmhk#
TQ3",14
t eG&4m`6DK,"t
eG&4m`6DK",10
2V,2V,2
l9V 'k0FX3idhEL,"l9V
'k0FX3idhEL",14
 -)Z PX   Mq,"
-)Z
PX


Mq",7
 'Nb-Fw .*{m?R /Y;Ex,"
'Nb-Fw
.*{m?R
/Y;Ex",17
coj,coj,3
 3Gf \.<yZM1o7hB^O,"
3Gf
\.<yZM1o7hB^O",16
P; biuwc gUn,"P;
biuwc
gUn",10
 'kO{0Gq  %rn,"
'kO{0Gq

%rn",10
 =?HxV ;c,"
=?HxV
;c",7
  _ #^ ,"

_
#^
",3
"j2gEH   Pd""X%V","j2gEH


Pd""X%V",11
/vy5^,/vy5^,5
B2; !~!Fv 05:: ,"B2;
!~!Fv
05::
",12
""" rWQsJ s4","""
rWQsJ
s4",8
>&TXTT\ 4 k;?w+ZK,">&TXTT\
4
k;?w+ZK",15
b <oe),"b
<oe)",5
{I'Yi  B31V(6 N A{Q,"{I'Yi

B31V(6
N
A{Q",15
 t8 ,"
t8
",2
E9 x,"E9
x",3
V  |,"V

|",2
Pt,Pt,2
xk}   *p u 7D f_,"xk}


*p
u
7D
f_",10
dpS,dpS,3
 <#[/ s! x }&5g |,"
<#[/
s!
x
}&5g
|",12
T`Y,T`Y,3
5 #V* & y0_g6=  eR,"5
#V*
&
y0_g6=

eR",13
LwJ4,LwJ4,4
#uR~T|,#uR~T|,6
dC1WKy<?w E,"dC1WKy<?w
E",10
:%,:%,2
 (nU sgL7Ma@~,"
(nU
sgL7Ma@~",11
" 6W,_Oh68xl}","
6W,_Oh68xl}",11
)<b v0R-uzw,")<b
v0R-uzw",10
"^V ) PiLb/ n$"": =< w","^V
)
PiLb/
n$"":
=<
w",15
BQew,BQew,4
"t{ewkI|""/(","t{ewkI|""/(",10
t F=,"t
F=",3
qD,qD,2
UA,UA,2
|Y&^2,|Y&^2,5
 %gIk)m,"
%gIk)m",6
 k?M    T:i+  7,"
k?M



T:i+

7",8
d%  0 D   ,"d%

0
D


",4
Z  L;m('9%)7 t },"Z

L;m('9%)7
t
}",12
Zw4)_wTj ,"Zw4)_wTj
",8
QvH3lm 4\* #eF,"QvH3lm
4\*
#eF",12
?#,?#,2
 n _^f < le@F:@nt,"
n
_^f
<
le@F:@nt",13
/V`6 7 V (9,"/V`6
7
V
(9",8
"A *xZ, v { pgjh1:Z","A
*xZ,
v
{
pgjh1:Z",14
 [  Se)x   ,"
[

Se)x


",5
fFd 5#A,"fFd
5#A",6
`g@k().8m K,"`g@k().8m
K",10
tK..=yvbQ&K4o^ ,"tK..=yvbQ&K4o^
",14
G ,"G
",1
"O< jI,k","O<
jI,k",6
 ~RDB=~ 8.Uc4*K _` ,"
~RDB=~
8.Uc4*K
_`
",15
i>T2[ p% ,"i>T2[
p%
",7
"""{_s5RTIlm bZ Q  ","""{_s5RTIlm
bZ
Q

",13
"A,0XZn[t-'","A,0XZn[t-'",10
*m;BELvdji$Lx  8j,"*m;BELvdji$Lx

8j",15
1 y2!+v&N,"1
y2!+v&N",8
*iT_a!\ C1X3Y!'o,"*iT_a!\
C1X3Y!'o",15
2$y )i+|  R0,"2$y
)i+|

R0",9
"  .g G!^@^9|h, 7d&","

.g
G!^@^9|h,
7d&",14
"&ON4Y  C""KQ","&ON4Y

C""KQ",9
"r'V',]/","r'V',]/",7
"a  ""= I1Y7 ^Og/^9c","a

""=
I1Y7
^Og/^9c",14
 =L^s ,"
=L^s
",4
 qJ74:M<fm,"
qJ74:M<fm",9
 Ex|;\DS,"
Ex|;\DS",7
"T""jW","T""jW",4
2[#  VO},"2[#

VO}",6
   Cx[H$)fUh@p,"


Cx[H$)fUh@p",11
  ,"

",0
?H[.?bxA|\e5  Jw$n,"?H[.?bxA|\e5

Jw$n",16
 -e\ PIItm@%,"
-e\
PIItm@%",10
K{ BO 6u ,"K{
BO
6u
",6
");#+B ,^  N.t c    ",");#+B
,^

N.t
c



",11
Q` Z3# pr@2 GI6Du|,"Q`
Z3#
pr@2
GI6Du|",15
-D7o TF fK1Qv{ V3 ,"-D7o
TF
fK1Qv{
V3
",14
o5<,o5<,3
iz^  N :UXl,"iz^

N
:UXl",8
y8uhl-@;`J4-Pt`~ yb.,"y8uhl-@;`J4-Pt`~
yb.",19
 \,"
\",1
>fjp   4,">fjp


4",5
V6j,V6j,3
O2w,O2w,3
"n=8 P0c   U"" 9i9?,2c","n=8
P0c


U""
9i9?,2c",15
q| (xxMtPdOIM^1wzY,"q|
(xxMtPdOIM^1wzY",17
"n(&^^J$ c-jj1""uq","n(&^^J$
c-jj1""uq",15
U !,"U
!",2
"h""h:REZzpp7 s","h""h:REZzpp7
s",12
i 4,"i
4",2
 S ~3_,"
S
~3_",4
{ ,"{
",1
 X|x ,"
X|x
",3
1R Gq y2pf6 ,"1R
Gq
y2pf6
",9
!>T,!>T,3
 Xj T h,"
Xj
T
h",4
 ++z-i VSAl R,"
++z-i
VSAl
R",10
Qh3dSC ,"Qh3dSC
",6
I P_,"I
P_",3
{-]$Y2Q,{-]$Y2Q,7
C@a    a<9,"C@a



a<9",6
 6 WwG 4,"
6
WwG
4",5
v.>kL  ,"v.>kL

",5
& /,"&
/",2
H`@=7WnB&   n,"H`@=7WnB&


n",10
 GD*H,"
GD*H",4
RP,RP,2
T_F%h,T_F%h,5
 El$At4c=KK v &  Vw@,"
El$At4c=KK
v
&

Vw@",15
[mL%,[mL%,4
"v ,-KLw{cg[Z  LW .","v
,-KLw{cg[Z

LW
.",14
EEdy/A$&.r ~=  @ ,"EEdy/A$&.r
~=

@
",13
?0 4QI4 ',"?0
4QI4
'",7
3=,3=,2
jd!kk,jd!kk,5
 '\\rEx(4x[k(5p |Z,"
'\\rEx(4x[k(5p
|Z",16
< lsL,"<
lsL",4
3J r%@9 ^   GCM5 J k,"3J
r%@9
^


GCM5
J
k",13
c e,"c
e",2
[(Oq  h'x<(= -rP(y-;,"[(Oq

h'x<(=
-rP(y-;",17
"%,zg ;^E","%,zg
;^E",7
ie\.NM3vd(  B ,"ie\.NM3vd(

B
",11
H s{ \93FbR qU,"H
s{
\93FbR
qU",11
2`,2`,2
uNj!ds-|$o6 +:+ oK,"uNj!ds-|$o6
+:+
oK",16
v -3o ~;L,"v
-3o
~;L",7
za3N+L%qy-)XP0l;,za3N+L%qy-)XP0l;,16
]a ]X#~U a#*J,"]a
]X#~U
a#*J",11
 nVO t }\2q,"
nVO
t
}\2q",8
 @ 6+B3w 's AhUT ,"
@
6+B3w
's
AhUT
",12
$P,$P,2
6~ vr? /6,"6~
vr?
/6",7
l #I<_c O$ -7,"l
#I<_c
O$
-7",10
"7=k P;x,\,w$*","7=k
P;x,\,w$*",12
7P  K( +|0 _Iign@Z*,"7P

K(
+|0
_Iign@Z*",15
v '(&G}   C-w1\u y',"v
'(&G}


C-w1\u
y'",14
0I{:Ky^@a fasL8,"0I{:Ky^@a
fasL8",14
T<TP6e! D],"T<TP6e!
D]",9
 n >FCA  En,"
n
>FCA

En",7
}Ue#  ,"}Ue#

",4
C6,C6,2
MT(A,MT(A,4
v Ur9 /w,"v
Ur9
/w",6
 2p7,"
2p7",3
8  #K(:J = J4,"8

#K(:J
=
J4",9
IJ(xeUs#@  EZ  %lf,"IJ(xeUs#@

EZ

%lf",14
g| <,"g|
<",3
Q4  *KNLi l,"Q4

*KNLi
l",8
#@vj7,#@vj7,5
V))& h4X A  PhT7,"V))&
h4X
A

PhT7",12
D JB o- _ Yn,"D
JB
o-
_
Yn",8
k ,"k
",1
O Pfyjt,"O
Pfyjt",6
@ ^ $YBi& d+G  Yj,"@
^
$YBi&
d+G

Yj",12
"h /D,  s","h
/D,

s",5
 ) 0  5tQfCP,"
)
0

5tQfCP",8
w?n#$,w?n#$,5
"O%; 2j, ui","O%;
2j,
ui",8
cX  6 Nwg: `sdx I ,"cX

6
Nwg:
`sdx
I
",12
U$pM$*[3 n86;3,"U$pM$*[3
n86;3",13
 5,"
5",1
 %0 Q| ,"
%0
Q|
",4
T0 ~?B,"T0
~?B",5
 lp X54z W ,"
lp
X54z
W
",7
 yeAiE>[#fY V},"
yeAiE>[#fY
V}",12
?eM:,?eM:,4
h)Okh,h)Okh,5
Eiu/3 eRI 8Y:?,"Eiu/3
eRI
8Y:?",12
 ++JDWMr3 $9uVI,"
++JDWMr3
$9uVI",13
"NA 9+ ""qgca<XBf  }","NA
9+
""qgca<XBf

}",14
m)Kxo*)|2,m)Kxo*)|2,9
J \ ),"J
\
)",3
l n#hv :B' dw,"l
n#hv
:B'
dw",10
_w/3_{fbw]  m \`,"_w/3_{fbw]

m
\`",13
X &cO -pk~(FW|/ ,"X
&cO
-pk~(FW|/
",13
": F g%z tA,\ <wG_ ",":
F
g%z
tA,\
<wG_
",13
Bw,Bw,2
"],Q@J  a","],Q@J

a",6
u` (E;:1\  oKI,"u`
(E;:1\

oKI",11
T:8,T:8,3
kl3I  uak)bo W*P1 ,"kl3I

uak)bo
W*P1
",14
"T), lE","T),
lE",5
:P\ O,":P\
O",4
dn4~/ CPl` b ^y?*cD ,"dn4~/
CPl`
b
^y?*cD
",16
"'E8/Jr,]K _!Cf>","'E8/Jr,]K
_!Cf>",14
=w(ZD* ?  Kr  [f $,"=w(ZD*
?

Kr

[f
$",12
<2:,<2:,3
#' c9bB@+1H ! ,"#'
c9bB@+1H
!
",11
 ;N(n%db ,"
;N(n%db
",7
"U* qGm&/lEL""Ta\X","U*
qGm&/lEL""Ta\X",15
M_h  GEj| @,"M_h

GEj|
@",8
"Uz}a@=p1u,5","Uz}a@=p1u,5",11
 @ o ewUs  uRj,"
@
o
ewUs

uRj",9
"nGx 6.YJ9""%& | *","nGx
6.YJ9""%&
|
*",13
` eU,"`
eU",3
 6> }t]*5,"
6>
}t]*5",7
 @?.g+Han l`Y' E,"
@?.g+Han
l`Y'
E",13
"h !""8NsHQ&n fV D- ?","h
!""8NsHQ&n
fV
D-
?",15
 6[8 b;%[ft3  _&>Z ,"
6[8
b;%[ft3

_&>Z
",14
Mi#FI^ T&,"Mi#FI^
T&",8
(b w,"(b
w",3
",! /i4>j5X""",",!
/i4>j5X""",10
p  :J)oRI)p e_[4}E,"p

:J)oRI)p
e_[4}E",15
"h0J1P, ","h0J1P,
",6
B@J!XuOq<o:$[KX %,"B@J!XuOq<o:$[KX
%",16
1/'GvY&2,1/'GvY&2,8
"I #S . [M5 ""` ;[L ]>","I
#S
.
[M5
""`
;[L
]>",14
k AcbF_,"k
AcbF_",6
}EM 'H Y &'ZXp,"}EM
'H
Y
&'ZXp",11
und4d&AA %s 3,"und4d&AA
%s
3",11
m g ]!0qq,"m
g
]!0qq",7
d'rAa[hR  HU iA:D w,"d'rAa[hR

HU
iA:D
w",15
 Pg o4B  k:$  _q6 ,"
Pg
o4B

k:$

_q6
",11
V ]y 5 2h@ ' $,"V
]y
5
2h@
'
$",9
X 0^\p NQjw+`#e@yrK,"X
0^\p
NQjw+`#e@yrK",17
4r   + .y P,"4r


+
.y
P",6
Q   i~#>XN<? (0,"Q


i~#>XN<?
(0",11
s)Q 0gX -|c s6,"s)Q
0gX
-|c
s6",11
_>fYU k,"_>fYU
k",6
Y s.TO 0>5,"Y
s.TO
0>5",8
"Ht ,K4D""@  MGu!,","Ht
,K4D""@

MGu!,",13
&VWVU,&VWVU,5
"  7L^,<:xti","

7L^,<:xti",9
_z3he=^ >O [?,"_z3he=^
>O
[?",11
5Wo{ZyZ  w8L,"5Wo{ZyZ

w8L",10
"""C[fvL9","""C[fvL9",7
 P%MZ\ | n,"
P%MZ\
|
n",7
]Y Hr)#)! hI` ,"]Y
Hr)#)!
hI`
",11
) )KJB;&SlftA6rb~,")
)KJB;&SlftA6rb~",16
 r zoe t\2Gr{ WI V,"
r
zoe
t\2Gr{
WI
V",13
] >]7 G2 S>JK,"]
>]7
G2
S>JK",10
 O@LYu },"
O@LYu
}",6
p ^b ,"p
^b
",3
KA`5oI,KA`5oI,6
 *z U DlC4~ jx ,"
*z
U
DlC4~
jx
",10
  T2d .>sr-~G2[Gp,"

T2d
.>sr-~G2[Gp",14
"7,@VWq","7,@VWq",6
 d6&,"
d6&",3
K'l,K'l,3
 j Y<,"
j
Y<",3
!gH|g Y27v\4w BI,"!gH|g
Y27v\4w
BI",14
s yN=&R,"s
yN=&R",6
FF  D(EN=wK   9.  *,"FF

D(EN=wK


9.

*",12
O8D` JDr35,"O8D`
JDr35",9
 BK.MS(l8 (,"
BK.MS(l8
(",9
x@Cz<*;^OZCk  D_  wl,"x@Cz<*;^OZCk

D_

wl",16
.j d SZ&~c  U DV},".j
d
SZ&~c

U
DV}",12
f jY cr337   mR3YhE|,"f
jY
cr337


mR3YhE|",15
wL   ,"wL


",2
`#F Z  ? /JkR,"`#F
Z

?
/JkR",9
lK/ N5?lTrkbb  9 = ,"lK/
N5?lTrkbb

9
=
",14
"#3  j,IJ$W#aF  Q","#3

j,IJ$W#aF

Q",12
""">F { Da ""M ",""">F
{
Da
""M
",8
S_J )`3 UWx ,"S_J
)`3
UWx
",9
 D,"
D",1
P =EC> ,"P
=EC>
",5
S8jMHqz >cvRTBv\M .p,"S8jMHqz
>cvRTBv\M
.p",18
"\o^H""_90/\  ` X","\o^H""_90/\

`
X",12
4Sj~V oGG#1_HLkD,"4Sj~V
oGG#1_HLkD",15
 %-L g0^L*gQ,"
%-L
g0^L*gQ",10
 vC x37j@  !C}R{,"
vC
x37j@

!C}R{",12
"O""v#s","O""v#s",5
"   u/ fSS9[KvpE~,=.","


u/
fSS9[KvpE~,=.",15
Y 'f$l; a7jK'9 ,"Y
'f$l;
a7jK'9
",12
v@,v@,2
"K  XyXc U8ac[z""6}","K

XyXc
U8ac[z""6}",14
g_ I(%A,"g_
I(%A",6
  Y K,"

Y
K",2
"""<QL  E]bUM3w MbM|{?","""<QL

E]bUM3w
MbM|{?",17
=Ub2=D ,"=Ub2=D
",6
  \ wiJ,"

\
wiJ",4
]P  -&v%g,"]P

-&v%g",7
E ALm,"E
ALm",4
 ?t81/4d5`,"
?t81/4d5`",9
GQqZ ; ,"GQqZ
;
",5
Aez8-Q )@,"Aez8-Q
)@",8
A =D  q YSJ,"A
=D

q
YSJ",7
 Q>+K>  ]yh L3K,"
Q>+K>

]yh
L3K",11
".e""^:Rs [  yE(8o! ",".e""^:Rs
[

yE(8o!
",14
- d 1F2K1 d'{x % b2/,"-
d
1F2K1
d'{x
%
b2/",15
iC^R[u,iC^R[u,6
Tp7m .,"Tp7m
.",5
;W1rnI ,";W1rnI
",6
2[[( F7u~ Vw2pCZ V 3,"2[[(
F7u~
Vw2pCZ
V
3",16
IuL) A,"IuL)
A",5
"aP,^(k0 9w3)0C^l#","aP,^(k0
9w3)0C^l#",16
@v cl   $S,"@v
cl


$S",6
"^   (,-EI0y[","^


(,-EI0y[",9
3 Efs 0 e xG <vD)IR,"3
Efs
0
e
xG
<vD)IR",14
  : M7< ,"

:
M7<
",4
"?#I[2( n "" BS(1+)-{","?#I[2(
n
""
BS(1+)-{",16
:K] hJ- B,":K]
hJ-
B",7
^g,^g,2
D WeM2M  h b@],"D
WeM2M

h
b@]",10
D%Y+ wn\JkD@ tNu9,"D%Y+
wn\JkD@
tNu9",15
N9> ZoJ%/I  6[1,"N9>
ZoJ%/I

6[1",12
"bh H : b ^Nbf i n),4","bh
H
:
b
^Nbf
i
n),4",14
"4Dt=}a!y {w C i,","4Dt=}a!y
{w
C
i,",13
j ,"j
",1
 h-djz t)K  _J} ,"
h-djz
t)K

_J}
",11
@o SX +! kZ,"@o
SX
+!
kZ",8
Wgxv Y#x06j0'x{  & B,"Wgxv
Y#x06j0'x{

&
B",16
wd:U  ~ gs |qu,"wd:U

~
gs
|qu",10
" GXK  E,5 x","
GXK

E,5
x",7
" O @"": 3","
O
@"":
3",5
[s#=T,[s#=T,5
"J |/  rh""Ll PrU# _|m","J
|/

rh""Ll
PrU#
_|m",15
pr B?TxE,"pr
B?TxE",7
/5C/t  ,"/5C/t

",5
 TvI\Q|GB8fj K#,"
TvI\Q|GB8fj
K#",13
[QL4YqsCks:,[QL4YqsCks:,11
 fW _ .Z?YF (Ph,"
fW
_
.Z?YF
(Ph",11
(t >,"(t
>",3
"+L 8H,","+L
8H,",5
v*,v*,2
"8,$l $ ","8,$l
$
",5
 m*,"
m*",2
"_yF d4~axW\s R,","_yF
d4~axW\s
R,",13
Xp8{R}d$lY,Xp8{R}d$lY,10
U BA ?:4L ,"U
BA
?:4L
",7
Xur /,"Xur
/",4
'y uvc3 ,"'y
uvc3
",6
b] ks}- ,"b]
ks}-
",6
B  q v   ,"B

q
v


",3
";73 X\We,by  cvj|N!",";73
X\We,by

cvj|N!",16
 D1 |vb ' Ypy,"
D1
|vb
'
Ypy",9
/h' aa1YY,"/h'
aa1YY",8
L5_e]HLe Oo;q+,"L5_e]HLe
Oo;q+",13
t$PkI  qh: ( XK  | ,"t$PkI

qh:
(
XK

|
",12
 F'!c(-- LpGuO  :~$8,"
F'!c(--
LpGuO

:~$8",16
[S`,[S`,3
"zoY F5"" *Fx","zoY
F5""
*Fx",9
qpv,qpv,3
"<XH ""s((MZ *@%G/93","<XH
""s((MZ
*@%G/93",16
&W k0JP2C.2l~iu,"&W
k0JP2C.2l~iu",14
% =`4c 5   Qf!!,"%
=`4c
5


Qf!!",10
Wuc. ,"Wuc.
",4
 j!$ 4 O  B>a ,"
j!$
4
O

B>a
",8
"w  ~7+! io  p , gY","w

~7+!
io

p
,
gY",11
;4S7 Vp  ,";4S7
Vp

",6
