train_input_1,train_output_1
h]~2,4
gg1a7BxYV@N1=F7$,29
UDX	x,19
d)yQb>]cwWMX`,41
wUBk=-CNiTIPF|Pj4,38
jEs>m	Ad,16
$a-wB}YPnd5/>Meoci,27
'&KL.O7/M*aA%Z')G;,24
"(
5QXhNc_tB",30
yacb)@7cD:QlB,30
".Rh.ST
g}pPe~M",19
qrQ#,21
N^.e*%J|=,10
d[v	F*zgI;M,26
>wW)wgQyB(C--Id(r,38
O!kyPt}Hz,28
} aF,5
"j\*vG@C6RxyZ:S$F5_R
",46
H5(#@,4
wJBIK-`5l	j}Z< XDU,51
6z,10
"PC
?
F[?jMmBpeS-",32
!T-~3,1
k|IG1&w%{oNeaM}9H,23
I8L.),2
0ZrUWglg 7>&S,22
"zwPXc<""""9",28
"B6\)poGI,
8F\j.,T",23
	<|5v:1;%>Y@,8
X:v?u&ZNpX3 dW,41
~{3Gm,5
`ZK9RsY,21
"
}oitv&FLM
(5/l:|MzX",37
\F7%{(AFt$RQ,21
(|/v.R/&#L|-z	,16
;@_sS Q!Fpk,24
Ez57_}FN`3Pr{aq;S,32
;GjI2K|AIu`_y4$,23
"PInW6+BOHyz,}]i#l!e",34
"_Dx}&V,(uNkT",22
~.Xq	}{Vw@\/{,26
"ul""{DGYL",11
"Y7
*Y	MNesG0Wi&>|b~&",24
W5zvoD~6^A(@uNyHc^?,35
PVTz,18
q)]fZc;,27
"+GW-x	]cym'
_5)dRPA&",31
k/mN&\Bt*L$=,14
o|iF7,6
S'wR,6
"ij,E7^?.i]*=$Z?*Bnn",26
"*H*YU
j",17
dn/ucYRvTLK<DYtC,33
U85Q!/Ud,14
>OU_bqYVmr|SFN,33
"
oN]N,bM(w<kq",28
)zA.!K e$,17
" ?i:uVpq.w_
qC6gp",41
<hn@-ZkrMV2Q'obN&k|.,48
6}St,2
"qP=<,J",21
"OOG!:M
:Fz{QipCQK",53
WAJ,13
rg/E|]=I@qG[A9<SBKY,31
 aHwNw{!,14
TR.[s,3
"L06T
O",3
"""_]lWXI</	yh`'",22
uD5&O,4
",5P",3
Pcw/,10
QMwIqdM<Y,37
E$o,2
ML=8YRaMRnJ 886sPw!,31
"~y,gHbAx",22
"[mk&Uu)J""QU",29
9RJ~?Y,13
eXu(,10
"EK
",6
}at\.7qps,16
"B+k-NZ~
^gyd*}P$G}}_",32
c86QxQ,31
"
$",0
!Zp^,13
xB,11
"lFqxGR^K@
V/WjR,2|r",49
~|<9M2{K5,8
"wAu)-+LR$WiN`QaV,",29
Oi+nAU=aL~,7
".""",0
!>F@NvN,10
^gD4H{/HzUbBk`w'9-,38
jtq1C<w@g4=7Zet,40
l/?# $IA!,3
sQ:c @,14
"Eh0,",5
"zT,VvTeh$",25
hs(5m4,8
"@W<kK^""<^uYIW;7@<Jr	",33
"wjodFW4Q,62",33
d<;F`:43HL,11
P[r,4
"RGvq[7B&""",20
"2&te,i03IqD""%3WAg",23
u1C2B)M9|u-^(&/,11
&Gf,6
H=^pV,11
O8n]*B0W5^,9
z$$+,10
{y^1^Y.,8
S	g,3
2wsv<$?DZ\,21
"j&_J'`6,R`N)34",18
95`zKMCO>lTos$ys,31
zG-?/,12
"w$%'#,4[IQ<",15
xX6I,17
UC@_Q]~$pYDjv\,35
EH$nj:*O,15
1.&(wc,7
5g=vA'XO,16
u7V9[;PX-5pD,21
"
m59oh5e Yg_C.@N",19
3+y#8h/,8
2cZWQd)WqL;,44
"Jc
FgKusbC",30
AGarLeK<h]DG8gnCSd#?,29
"F-};R<%3""E@+x ",14
J%?&NFL!X/	a/X,31
"Mt%o	9""TCIs4fApg",21
ST1b@FL5C3,13
*}2)fYS%1LX,18
#4,0
"WK""1)vL8 VD",20
XR'e =C-+B0 Y},20
wo^W}A&G&\(Bbk,23
D	rxsRjaszee:KA791k,46
"}HcD54+#ot,&",11
'H015IV>&p,12
80qzp;,23
teRbSAq6]9=,18
$h(.r#VYv,17
"
d3ODbVGNkv",24
Eh io,7
"ZE*""ObS[s{&+L[J^oz",37
[wD>!,6
"mW`!H6Iu?""",13
OpVy=_2Z\p4y,29
8u*3a<\FJwI:p/<,22
w]N,5
	j>,8
"TLT:])i""MF&!sF",16
"?jEv.4z;43""S]KnF s",35
"1^""7'owomq}n3/02",20
"SBP/;@eYSQJ$fQ
",45
Dj' Kv_F,23
AFCK#,13
n}KKc}&/j&UXLS`DlD-P,41
{w`')CK(E9'I_H,18
vUC4Nup,13
"9#/mgZ<ZqR_R
k1EM,VG",52
bn.W.,8
c#6,3
vhUP=,12
"Dt1Q.B,M('}=&+A^EM	`",24
$J4>v3tC,16
LoV,6
 c+|,3
b88rty<kva,19
E+ME^,5
Knw,10
Z?,10
"	V
fvV-V",20
"]?u,['{	J,&",9
uw,5
0)VtF9G1,11
|{W;T$c!%KbJ[,24
"1D
H4dI/6z3",19
"j
 
lfV~{fLcSr'r'YG@",34
"FrM,';=G9M!
wn",18
a@2[C{g2`HnesDJi,24
t:1/s8c>sY)[k|TvZ,30
"w2""",4
"VRO{.KN""9X~",20
=C25[,3
@wwkt[B=NF~&8a$2J,31
"baZB`<
]0bF",24
re,2
{l\,1
"c
",3
U/H_`#MT ,9
E*XwXc,24
F|_gaK1%7mP,18
K\ahC,13
2kvyV{2LK^< iy9syJ,41
'BX7AcF&u)/Y1GjeUs,37
HTT$,6
j-_,8
3z,10
7t&}8 _G|9l,4
xuM\0jtFs[j]H][,38
ToFTc|=WC,17
ZCzlj_s${|L*6`,34
"]""XfvcQ	x_P-$?""K`q]=",55
9c-y94+,7
i#i\mq,15
h1<,4
d1&6*0gWx9,16
"Fz-,aAI+JK
K2	LlF8",41
gB/Vr|$7	?UeBP?t|Gjm,32
0){k:T[ld|s_[9:Axkx,32
"d<T
>v.Mh%",14
"
|",0
Uj^hnK6AvL'H(j\-,37
"H,xL~HddE$Qv
",36
:^Ib,4
n oB2F<#iX8bJ#f3U@e8,35
"""5Vrp`[|~}",8
Z+?lW|@#*O5`AR,18
2(1)ME,4
9h<q,14
/n{[mlnSD>?[9,9
-T~0-TFO>Fca'5Cf,22
WH|QO[G)q,31
 ;NpIeY]R4LXsL&WZjO,45
"CEI$z9PVH,LR+\)IE",30
J(=,8
t@4k	>DW63,12
+8ZO,11
]\4%CKkf,17
Hl$ktfm4h [H/,26
"}B,hPn-l",12
CP?Z}.bk7~,24
14!!6J GK9!+\`,15
$A6%|m>[,4
9$;K=)v`b$H)0f|,20
	eCWb,11
'C #/ep/Z6,17
	t`,1
Hye82NIZj,29
WvLL,10
".[0SmRYSN""{T}~?H",16
`UeUTT#1lxQbFtLq}5L,44
"Ld""Ed",6
"NjFh.R#
PDf9C;P&Kq",48
"1:,B""",3
{`G,2
k8I&;=4]<lrR!iS,11
|@t9',1
"""R<&]wXZQk)x5-^.	$",46
X(wXA@0C)2_@I,25
">UQ.*J65Z/""rV-^dj",44
"Yd`{P&!,RJ@?F/%S",23
BSXn/FbJQs@w(8q ,53
"K1@OAh*#S
`",12
" 
OFRg_)",8
W2/m9*a,8
6%7om\:hZc!Q,31
K^zRcb,22
(pAin[yZhzWDr,41
o4,1
SXc,12
"#'F)&1./|
bLX[%H	",20
U*M6w{+j6I,17
/ZGkz,27
A;2*D.,3
ju-v\H~u3}IrwZr5 =^,35
"]Okp""_lf+^dAM_hA",25
E*-\o.i#i gDd,10
"
CE5Y:`Q\Pu",22
PH3/$5v,11
P	Q=,13
"z_Doc~CIi<8*
",21
"XN2cGpHzI=""%",32
rIs(3:b?/3,6
"
>j/pyd?XNx2(he2aOc",44
Yh3^u%?EGOpr^+&,17
oDC9pp	u.)>T0n4,15
d?a7B	,6
"b3t$H,.m*{pF9l-K8_",24
"V*@[;	Hf,efuj	jaN5",36
"gO]S#Nc4ONB.9eb_:j`
",25
\XC:dIs8Q)Ay,30
CybC#6DlaR>Y,22
?t,1
$kMw8^/}5-rU,14
9mw,7
>D~$$s{mB|f3j,21
H#A2,5
;15lk+r5JZz<'-,35
.qSWfb~'JXe(M,42
"\7>42B!@(%AW,5xbGRI",23
5dj,10
PJ8ng%4jq41r_,33
`%,0
L/61,1
"$%UfP7M0
>XK4K:JY>J~",49
Z[mT,14
P+4,3
d^2<cjy4~:iC:,21
'Y}EsC}G,11
Uq#,11
- CVS)V**YEq),27
^lMlo~Py'Ld2;w%K,25
Q=,10
J&jN5:}h00,21
",p-gM",8
/i,1
"]""Y t4 &RV&Ahs|(_S",17
" twKJW
D9O>",25
xM<}Z0+7'`,21
-.nB6,4
Z^ijSS,21
lp`M-f,11
YI[,5
"[1fkI!32*pa9s`,DB",20
F.d0xc!VrNz.H	oi,39
_<	FHoi,10
>QVn$eF!j>c3Y,35
f*',4
w-j6&W>`MO,20
"EgGB""0",8
xLghmLXLH0E^T@,34
_9qbn,14
|'R/QaAVMgJ],30
ZMCJ2D%n1x,35
ka0/+eh4%G2(=,13
"l
IoH",7
"jBC]L5/9XY\[\$-,",27
 b~Dhgr9gjAcWzGNq^>,53
"U
i@20#)>_	",2
K1nPFa~l;r\>d,18
$3=tzfNJKBN,33
>xim(,12
LTc2 lA/0DOrcMsb,21
<-	Fwa64*8z_[=kT>-9&,25
<JbUp9xaqu7oTK8wu&q#,57
I'K8SxKU XE1Ss,32
:j1,8
"G,(~9t28'a$:O:/D(",7
I{Ed)	,4
"EsD~X)]QB
Obt",30
M^RQ?vnt'QAYj31VT@i,49
j(3/,8
tCpOF/Kj8=X>H(m_0HC(,47
TB0gmEI>k!e#|pfXL7S4,34
gEx*J7,19
l'a	y_h?S_~>,11
'\($%f,4
$QnRP^;RLFe},22
`WE)bd,10
"(""@",0
vK,9
*f,4
`4M	q^\,13
VWnhA,14
T+FEieG	yDP;ah6J)/F(,36
")fT ,O",6
itX(a,11
5W~5Qxd,24
@<],0
I^J!<,9
"LzcKuZ~.-Hz_}c|J
g",57
"~	""\-Of7Rv,6f",14
OwK2N;t+<*,12
"]{hj{Wl#$.vY+Ud
0",28
"+7Odp*b2ugB>cl
u;",20
-A[n,2
"%""tnC,s7f""848",10
"p\0?}<AncM
8C{/;v9!",18
<4P,3
Wa,5
G.B(r<kk.A-,17
/S?mq4#k#,19
"ry$NMr""hfjtA\1n#_0O7",30
ohAGCqcDArMJ3p?,42
u$Gb`,6
"r(>3""F9xI5m6@M7",20
RaMOU-|Ny][g,14
$/-UG%;^(kWIe!9v@Mk,26
"^1nxO~(j`K!(0WhOs,",33
"wCn,_$l<3""Y&e",14
7LaN:HF\Uo$QRN-I,26
t*Be,5
MyUOo1_)6UIl[|4	X,21
"Rruaog{J%""|ok",21
"yI$nN0g=je<9V""dixW?",37
pWEh	EC'G5Cel23/FA|h,32
/G+ARm`&',7
@+Z}>QRNc0c,28
h	2Ry?'D>,11
iE9Yf}$8,10
hf]S>:R->:o4OB,15
b;.>'RLWj	 {vcK,29
MiF_xsV?,21
PK#n^3n6-58o[NK,17
"Kq?`W}r*4?	),Upez}yi",40
9noOTI,5
mD,5
8Hq;[= &^t+3_,15
jewJ3fz~`}*M:x;3,46
CUR;fhkuDC~<5-%,24
	i[W{\/(}%dN~(uV@X},21
-~vy}9Lul,11
.Ny]%M{WWju$	`XcS :,37
\t0#dz( 4wp5^(UmH,28
"mx=YUF""	
X\NwuNw6",39
=d-d #(P	aSI64oJ,19
(7~J_!Wp-y.b9_l!]]D,25
8<	v>H%6Jp_AhbX^M,38
r._y[>?i+Dt6T5|=<vr,15
uA&lj'v,15
"M""+7uPk#",12
0_q*g|Gcf=)e.0,22
"""=/&e@iYu]",7
/12m1:u@DU;SG9(0gtP,16
"!""42E",1
KW-kiZ$8>]>;Y,29
R~MV,8
"a0	N'WV_=e,bkW6",23
ZD6!,12
8bG~^FoW!%SzRF~D}E!,33
.ERS!%BNgvJ[,21
-Az-Sl[G8QHVV/{faB,45
"wU""6gyi7bKcue+o'4K",31
a$2JGJ8uU,21
@GfwhX$	2q,32
"+CWAaVZBw	$)GUOBn""I",39
"BR0,+]",4
HRdh<ZIO_,23
e/j0,9
NfA7t,7
PANn9?go!H&,13
<6>QEb+1_}M6m~Rq|+,31
(Zsu`<`MB,18
A=}4/?mT\cg01,10
+	yAaWt,11
.'B)O?VKFq,27
(ao8q,12
; n,1
q9I:/:eK,17
"a5#<k,7",6
'	|Q&v_e5'l#F[,20
L*s3aVzse IfADI,28
#Q%r4wnFK-*;THZ	1,40
H7	O.O{Er>'E})8,9
&759q#6\Fny,19
sEv_t6<W/`lZ:,22
"_e~[W*$rBoj,@.lN",20
.owZ(23//q272,25
~5Cz\<,13
F*D,6
\Cm]%#EXe6$}Ha,21
2({BWUo79!0%,9
Bs#d@HxWwR- 8?a;,28
rhz&D<0N,18
UIvr'/($t~f,12
$uhR1#Jk8IRcaq&^J.M,46
"tV-\tA+""(<{^2/l!",8
T*,1
uR.e35ovnk{-'K,19
"ix{(90u=g)#OU
&v~IU",20
\O$.q?T:U=RTu$t,17
$M?,3
)#9qS pArTPZ8z(vy,48
c@aM,7
8X<,8
nz $,11
5\T6|zxxhRRtd0~\c`@d,41
ZS,11
"C:0`cY3 hvS(Y
&:",23
F$;7}}$~'{{,4
"|4zFHKz
~QRa!O`Q$",56
6Pzl{Z0.~z)Ge)vm,44
ov`tfc@@\b ~WwRD+}t,28
dmi),6
pkO42C},12
H]%H>ysx7wajcxUCy-,53
NWAPFg~,15
"4>,b&~^% Iyj`oy",21
ra9#]~U9S<~~OuNom.#7,11
"IQqG)om;7x	9""vl%,EQ,",51
"0zLt;@92A""",13
\Mqn5P9)1'x~(g+W0,31
6eb/zT4V*a[,20
{2[28vFlFBnOu,19
mbkmV2=Hi#f_>W/,31
}6hl_:WX|,17
>U(<&m,4
mGCHg,14
(e!Z,11
yY(5KeGcOTl,22
g 5Y%Od,9
"okt0l[((bj=,T*35z,KV",39
.0x,8
"zQI[G& ?
LKG",31
"2*=.,_RBDZ(yHa|",25
"
%A#jmrn/cG",19
#Ea_bp4VbNan,18
$^n_)#7(|HV,9
LV5`t2T'34C$,10
gS60EbDB,12
"n`wBz#oWO*m`h""DO_aL",36
+GSvT-_;,8
"}I7""ae",3
W!iMq?clB@5i$IO,28
K8q<;h+jEQ?FO/|,43
+[ck#wigpg,20
ivN-`21/*DFH,16
BL3s*S	woc,14
O+	_/p	J#F]3i]eC/G	d,25
u/3IzYY 5MchlS	,32
lt>kf6I,12
~}OL^;68vt8	,7
7?/mqfx??DsJa%_Lmm,44
0%i,1
;8ZC[;NF:m,21
(z^Q^,20
"!
 H_4. Z2>D5_2]If`",21
b4Sh<> s>w=`^xIppT,29
HY9i,9
.jdF4?,14
$`]K>L]SSz,18
l2(y]>+k29eZLX,30
"K9%!Z,e99*T",17
=]miW|vrE]x(o},23
"""Y]fTohQEQKv+l",45
IQ-z$8u&'Y#@tC?5pq,43
n),1
";([9kp:rMs1T/j4a<	P""",26
u?PfLV<cG'{j~@;hx|,38
/r,1
3Cqc%e:`HpP-,27
iQ~F|5Fmi,23
}y6)obwk,17
RHhAOz9SUW,27
-zX,18
"D9_,:>GfHqF0_8,Qq3k{",51
"_
It?<p4k\X)2z]f",32
"f;ZWUjY,iE/X&l5W %",46
^-[~hS5VzxDd+8g/,33
JRN`A{<~z5&,21
"QIWqw)
ak/1TI{",37
2lywZ'4wda1xjjl%~jL,60
"~q""f-7"".;04",14
"XY"" q&{",22
*&5<tXr,10
e]J,9
iS|rlbj7P,18
;u;_eZKi+E,19
U7Rf,6
9Mq);O&by,21
-Q=?(},10
cIA1K1d\;e!:a,14
r?{j,9
"+0ce+v2(,Ur[;RZd^5",23
$V/_WEp S,13
3%*Mj:]$!;ad,14
h.}(JOx{oGPWs[(z,42
$$[u]jt6WP,17
"_bwI,_",8
t ,1
erJ,10
^C5!j	t.o,13
 z,10
"Q7'w<<nJ""hxsff/;S",45
",p^3^{K)",8
+l}RK$ve^hrG7?7	,19
pg{yt@n	u1V~\^O[,17
_[KzJ=-P(Sxht4T`MM,47
"d?qGbO#Z""	CVEke8)sX8",51
Sq4gqbCw<,33
G3ki)=hOJ?p<9XT X,41
"HS,!Ot)C[f1~mx",25
"3whq
V",22
rU%pQ/B(c5,21
"
~!F't^ZA""
*!",16
sKv$bT!d_,16
jggqZHn;#,37
"	/`F&D%hP,2(dC",18
Gn98Glhr ^|v<[,15
bUG2tk]2--FMI,20
_&cXNBa7!VCKM.i	Jtw,45
u!W{0^_Z,15
(bq?JK:4Evf	7>\h|}	,39
]#^S=Olk!,8
f{4w+feO4Ry0)ot^2M),24
P'B1`$2@^!i<%Nw,12
#$,0
C%Stb9.J*T(#zHnu8,33
">wpk&gF
7~g*",20
. 1La`zPwX8T+@P,31
&SQdG)cbJe>XZzw,62
[M+7)_@ROzo[iGyC,26
]fchXR5g,22
>s,1
YN,5
c7Y	k[g,14
=^h[Tw?:?k,14
k^2z,15
:oo	eEn`,5
fAN,6
)~vKjq7IrUN7RtBjlhW@,53
1Uhb/]tXP{}K6<&},25
"~UeE,D|",5
7K{L]oRhM4\LP,19
R//szQMcBWN jLQ|5K,60
QY_,14
RHo-so./C$tt}ew,18
(F6>=Ls`0dq=,18
t4/T!@+paUq7,17
<0g7$),2
   Y_E$}y.8,9
I{-q'e,12
M<5U7Jf-3i\E&M<:?t	,22
^I `i.>_,2
"	-N
<Y:f7.Wx",21
F3,4
""",fj#[7<cj'",23
t$.O*By2u}/aQsTv,27
RkIC_-N{o_,12
%$0*'#Q/q	[m^yWt_zg,44
"Ly<5[\bA2[X|
FuZH3x",44
$| 4(~=*23^w,4
"Q%4tih(0##Tg?~I
bjn",32
"|dfUU-s<UrQo(y
W/]?",30
&KU;J)(b5ou0_u,20
Iq,11
"Z$7M""M",16
"s@"">T",2
br}~,4
(5&^;ff\,8
3n1,1
HBcw(0$,14
"4,06.k6u{d",8
ZHQT@c7wqTCj{f+,58
FPR,8
vDNK]C3TmUn4cu`1rw.,30
BMC5AeX4,19
O1^{+Sy!,6
"d%lt)62X[=8ft0#@M6P,",23
f(,4
1<ui@Y@[B/va=y,18
b7kcheR{8x,25
y|(Bp%U)8[U+,12
"`::+bMC&*dS l/qv0@,",27
qB_P	$P^wM,26
"""$""y2i4",5
" ,",0
"=""xh)a7qhjFU-
~&$R ",41
qcDAg>|~?Edm0,24
Bam,7
eU`g 4`v%ub%M_u|yrD,23
")3Hb|uew7Q
8",23
C.Js7(0kj|Ng,28
Y8],4
~L@9B)f+Li>4u5YEj,24
"	{E)0x1.: Enbs%
t1Dv",22
"=:ulzl2\J"">&&}kT",27
"xR""5}.EEm",14
9K_&V^`IJd'R@s.%)$1p,25
"8SIE[BxZV'~rJ;&""",37
_;e|wIEr_Ylj$5[v>|,25
Gt '\#U>P[v,11
7<vq,14
OFm!uwa	BJ5BR{Rjs?G,41
"|LNn~jr7,5d#q6wfR",33
[_rIy6BL,10
",
U}~9",1
y[)g}uUTq[J:3:	Y7,31
"^""SDzy*0A7",18
":,s${ko!}&Gz",19
"Ar'6LCE""+kJ$!",20
"QYp,G/RUDY$p IW",35
%F,4
JU{k\;{f,18
>@<,0
>5z8,10
f;! HVF4)M,19
ZY]C/rD,20
!b4=Yh66,11
"!fZ-R7qN,Gt95.&",29
wUaQ@(IzoLW_P[O,37
"6H&BO$m@au<xV^R)j"")",34
CN rb(A7vTV+A'NY@(,24
a8%S!0](6KrNI\,10
";wnaGhQN,a?",24
w	.;PS1*6!,8
9aogGHeoXvr(	ZIt,37
Nu! O.av ,8
"bf_*BfZ,qHj""t,5&b#(",50
IMn! 5lGc!Kf~h.$L<t,26
"
0f8.a==I/2u'J8Y""",19
%T,1
G0\.:`~+@j*`E	h;q?,25
nsK^,7
ptngK{S:p)w._:M,23
 @a,1
"IEXo	)""Qhn60HLs|c1 ",35
"?r^J}J6Z#n@rp<79?S, ",33
g&$<q-1|iG8qu,26
"l%]4	
G",3
Gv$MKR7AQ|,26
OfIV)In{`,12
]E>m$CV<7!8m?18,14
"j""p`V?RZlH",31
", u	y0cp+#O",12
eJOutK,17
{-^,0
"_F>&4L,j312""0Ebp~UA{",22
Ld|?_Qbr){`zm/-& W,34
q %qYQ5)RdxVjL4_qkAX,82
g){hI&f Ow3,16
)Xy9!r5`w,17
"n$Gasuva,",11
"Gt)`Wh@
XQ`",29
QBm	>NkG E#xSh|,38
2m<[q`Jf3mQD,40
&Qs>7)KIz_t2M[8yE,36
[&XW,12
K$jKAo,20
hC~aupQ,22
X\FIXty60A*DrE1v.e[],36
0RIvM'e=Zfo}wTTR^9,32
/1v8b,7
j4W($EL.zm=loDB,34
"<xp{Ylm'xU,Q^IUC7TJ",52
R@BcXKD	sf,27
Mc&dZC@=*LQ[,32
"wS9L
1l",7
yb90<,7
sO.?~H+Q'v(CAy,28
"K""'yOK%@{E8",16
;Z5M$,13
. V6r#ex,14
"B++=i3-ZU<8R\A
i`",18
"#GX*hcgoD[L:
@mcs",30
`LD[NH0fAX/bpbO]I*,32
=?X$7_]eP\e =),13
&(>P6Q_;Wq{?}]i,28
6CK\4z'{DFk!u!0J5S,39
Kxorc)%Z,28
"0p,L!jn_6#$",13
S5{tx2m?8X+6r}/VdpC,34
C@;,3
H7\CKSf:;4!|,17
uF8DgHx'rD,24
s|$)&AC,5
B$O%B=z|,17
"@\+
""9yk<Ni",11
J{h<EBv,20
Z]<>z/SvOF,30
O[F,5
$c>l&$HJ7,16
\+&4A]U|H,6
"O/H	nv7,
RCT
=p,q3",28
