train_input_1,train_input_2,train_input_3,train_output_1
/QvPn(\vl[A\ :qh,&aLk):	F6[1^dn%FxzruhFh) xK+'f?]1	B,"yMm\N:wc)N'ek7J	,t5Xsll&wM4zh>#}Xaf-~;[6N!",true
&^p0&h} !E,G'=B?RNu8/B2v$lr'	\LhFtH<PH~KpeiLqkk,R3	f8S}-[tYL-HTvXA@XU*eM*:F$ME42S'z<_e%,true
F|l',8I?;8<5[0[pL	e2~[TrM0u] nR^(\,D]!e(\ AUQLiJ;JeGoS(:\U*.]v3HKeM[n7]30uz,true
"""xcwIAH",Jq*	K+|:o~tn)1v,"/BV
)RcFPE?U>Y1sB \Q*R,K0#_fkDh[D}0E26c<M_4D8T}",true
r -ad2Y8HHk=omUN3=S@\52r@X5z&zQ7gYMd{,"befl\#FK60,	0z:%s-zBwb)n['""""	+12NcS0sDM","3G$o?1hoWPs#C{]L0Ev!y_lH:j""JnC,OZ~(G*mD",false
q,LY~,"*Ny
OB:Y@#fnKso4;""uMFo{)|E:1TIL)",true
"o1~iZB[?$3 dk""M$_Suw}7^9^QToHyQf",DoJ:!n\dkD'&.)nFgU,"|cJ]WY,z+\p&,Os#\Dqbl>ZI;0},(*p$4",false
0P4l^O'\Hj|cR[MTmaOT}UDxCVh=IlDD]uLDDDd5+]Gp,X1q[UThN7/DL	aTV0Q8SZW,"Mf
UD, #/kcqS@TZzeFHc~NW",false
"-:&.
Oi&R7'h05;E`c(G4y5:Uqw5hyRtX",1fe8,^34g K*b[3ZXa~)~KgG**jf~8FW]B+Kgvnqd,false
"D6&xCP(bUy>`[qw#L=#^ON\=,JE4`XCLQ3^xedt","8@S""HKeOuHuwn2EMU
\",`yvaV+|<*#kLh:`h{U\]|=[[U*d,false
"<Zok~""Ub_K{WviuZGS!8BtM""Q29[U%$lbdcP~r
_m&0a}+(&C","^q'sS,c
r2gy[II)8-llksra`""q7}","%>:)yMKaEoF|k"" <N~QU",false
",c*st,\AG[f>*5`[q0v/DC/uA3-Fm	fr$\+)&rS_Z{qEn[",P%^6')~<?4:t~|:p,,false
"+SLtw
8d([0 
P#F_uk(~.v
A*&!Oaap13jAp|vH8 	","wFjt,Zd5+/%[o9_.Uy""v]jOSJB6);n}l|",ieluaC7*~;0)Qj]r5=jtK_4E#%jSo] d4YXC3&i&,false
hg:;P5&,"zBy1$XdD:L!.>X1qj{v-~E qr""z@jr{8|EYYr27V(pr[","U<,;lNZyjT5YE",false
[$vh~]7/L-^I5['O<B%3tNT|R[S~6~l,"7%
1>:H","Yfn.p@XA)<#Wq+%Q*$VBm<k@36RSd7/DFls]l1)mm
N7",false
{PW[Pp$/iH,,Q-#gz&Uts_+2T`)wiWTZ'/ZfH]K,false
%h~u3L!p)w6r;.;pVgcT,"Nh}6,uU)O^)8<^*VN""bNI#8])N!",	(efAg8Scp-8KUl+f\,false
":.!4-f4@aZEkG2|~0uym:xFw$6]u:Sswj2>EJ6&(
#v}c	z","KBxcDI""Rt`-\+2WRnhn""|Y_Z(a3I
zLf/40W}B/2QUm","l-y!iU:\,X",false
8.'($lL81`PWx<6Sd+C|;^IB,5vCax)Jqz{g2+l0DfF,feKSD.V7#s-53qq#X	!(v'xo&3JXUdFj3%II}T:',false
"Z!AVl|wTO""i|/t\'?
","'Hw1=C4}?K_1E~EN =MC~+=]5+
:+Y","KhgH
$a0o2x^fZN\:!*+k33|''LfY|Hnt^|KLeTmo",true
"G8 @Z:.@c7<a6-ynt#%DWQ>;ZoM(;a1""al:`_hwL",Fg{P+vTX=ExB!V4ttTWZdk@Ko+=[\rH'+V=Wuejj,"x5""cYW!ORCQ^4#(C/t""1XI",false
"Wk8""f'e(fxN23O4U&F","P6b .}AC(~hJ^H_&vCOE;.d""X!aD+I4Vr39","lvP!
ohTT!&]",false
"K^[.
g_Q+&RXZ)Gr
>Zsq`EP:B#DEw;WtY","YYi|XFv,
IXY`v-t0{A4Ek]:|RqoeFaiR	?.kjf""-=|e5D/","dMAB'&5Iy
PHF;6_bJ>",false
"RuR~,6etOd2a_*>\3-i-wq85wb/G#OtfKh@","""u?[",J5[V0EJ%QFO:'tm?PqZ&Jh{IvMen_C5i!3<IOmn)),false
"Bws Os?Yt]FO+{Zpb`M%Ap@MW#^Z?']QQ?~S}S,o:S\_Pr",{dF63nK]cazZ>*LI,"F
(s>SKJ](&B#ivXRoybry1;Lq
gC_~-e58",false
"6v74eS)Th`G#7""lu iH6","K>D""	7)a""w1[x;'`Lc|hk","[<}kTNms}eee70@pZZU}2,$Qh;
P1F(IRXJm[FM?~a+|+~",true
"L+$9\yBb![9(,{)MQq9|.wIRq+","I;""kqZBnbkc#,T7~52ykdfh^nnS	[ k\0@WYsw","4""0(H1coAjb6H'8",false
"s'],0&d/]O`vSnakNeSv","8^{Wt~,9S}!c;6<Mln?VjX\/~+iRUg@FwP[?F\]Ps","`Mh}sN9]H+&, ]!hQ+&ep@Wz7_/%%!jdxfsJjlTsT",false
,"~u
gl#g*sUnN`|
I>\{7Nye2","H{u4z;? Z*jk}x)""9n""BfBA[",false
OMu\Fz1[F,"yK7zz""jc3_LF #","]^eEw~8dQ
at/7~@ryzfK
Or';]@DogF.pvK-2G8;${4maav_",true
"v2!O_\S&qy!_.m#,8-91=KvdB",\ZKa*@V{<Zl[Jv;%bE7P({- J=n#2t9eP&UUpfGRawBq X<(:,f+{xX\@$*NpKwelM0,false
'W'^]5cX>f},Rb`_Ieu3cgd]Nfza$r=7WT6;p2-8>,"'mxn+
k%4/+;1f0?Uw))J
uN[gvL|nY|kB0",true
t`8^P#(sx\5,uv?[%h4Ju6?_sx	8;jZ,$aE}n`r,false
WC./c^clBTNLYbo7st%I|34KAUY0Qfgy?0<o@Ptm;['}2,;0DPz,pT%<Hc?+yn)+wKJ-B> lzg7}[EDqp_R;9u4,false
d0N$*HC#a0E<HEjvXI.`S9\c5!,Ti&gt__&l^Af\Hqrr%gs5w|`<.[+z*;?yMz~!^,"DhBZMQlgH}TL5 ,)fkg'v/3T""'U;g",false
TG]uFSmVRVkf8,J'Tidm#Zx#pdE] 3lIhG#xmRt,">;{YF)CO,&",false
"JSoJ$zV`pzrNU,}q1ss4:eE0=Y""CFMw/aZ#-/sNJ0O;H",p8&dV,"""Y*aq-V)-<Ix*q`@v9sdtsrwwK{6U;q.(7C,C!}y%",false
"PI{+/@ivUd'E#Rd\""","w}]DtesAc^8L0 o]
m~K:BNIeg&1. 7X}.)4X5w^<N+|F$",.P6BG,false
ojX\w&^223P'1,LJjMl,"kYZ]&@RSGZ[sj<Kk8 k)kvAP""[cWddgh",false
"&0l\
_EekM_QK",V}Edd.\8cb-GgL&>4A}VjJv'uEC,EaFIGUL	mN\}Ie)AGk:34`~/2goo'O973 9cA,true
W|_@G0y{;P=qhv'x@Q$F`BWk^SE;I]!\`=2~S/hjUu^,"Ea,K]ll2jm1(.B|ll|s\j2~ wG\']tOZLSJn<9J^",IsudJS<0(Hb$;8 aNR((V-X EF7,false
waj9rtt|v.28@,&!	'[e	TrIR	BR4sZ}3W({&KW\B|2-Qid$<NNDHc3u.H-j _,"s_:5iCM67QpN}[:],#n#",false
":$PM#*btq`$l""X5<ZhC`W",*4).l$9~2:9Nk_%*ZqD(+_VcP9b,"<g[tv(7bz^|AH;Lv""CF?""i5pKGe@",true
'u:$+t<HtxcB]OQoH<2V5z,vffDsAP!b%/dQH,"YB'Yh=CFW_|H7hf|q""lBSMg	:RP2	:`WZT",false
,"dWt$g>^[P~GZ/C6""",{!Hh8,false
"5RN_Jk5*.wH=qv:RX58""tRP<Ge!;2|}P","
_^L>8",fEho[xq[yK`1}SvUw7~'b-,false
"1N{$`~]@6C+VV`	\]evTkSlH^>Y'KlV0HvK!%({tog,V0U<p`",9*zotbn=n-!+3#ALUt xNBd,"JY^}^!YKh,v[03Z%^z5|nQ\7bk)p)NL!o",false
"+|#$>kC-^sAkYH
X	?+XF))","}wgxU6'{;8,YgiJ ~'w","'h~)4""ITO""2XqraM-ljZAuv-Uw{9gO[N/eghziw$(",false
"bdf7RxtA3.+aBP3S8s,$pL &+GReDkDj8y2 HMbhGjrb_M",R0-fM?27.M+Chm0>s;	/~d^ENKr1!<i7bIdu%Zi,J?=Va(n|[{,false
"3wV0-C0=:p
!i1T[yIJT;","ws}'ui~""VKZi2Nq7DI;",".)'
""$Dq_5`(a]@]SDoZyjzt",false
]< xS'Dp*C*bom,zTTb\;AwX)O'G,^a:xc1uXDNd*/;?v8.di)9,false
;!<{Ms3Z`tztJ\:GJTaRk\](y,7c#i,"cIvT6%R_I
",false
"!X""&}(~F7vO	<2Q._$YO7L","&,mmO7
}*m]Z{F+0yq8&wuXr_4GrN4*t|\1{q~L	^N,I","]FQ{-lQPL9R
1",false
s$=UFQd4N#wwo%,bP}zCNj7SGa%@!Vq%xj[%$~()gKs,"@T:4io,bz&E-0i",false
^	',"Z9r 2\\#=T@Tf
	H=>]O'm.qU^pi(K]	#+:6R",$wiIis.so\Q^!/eQ`jJK^b`L,false
"k<fuG[ku6t}D`b
'o9I|.a$uI(	Tlfp6p*","GaF%
E^6b""xPW9\rQK	u4Z&*&N@ev%$?+7.<",`M1~q|uZ~AM`$jkm9,false
test_input_1,test_input_2,test_input_3,test_output_1
.K	UW%awW=HlD72BQ3w,.K	UW%awW=HlD72BQ3w,.K	UW%awW=HlD72BQ3w,false
AVW.w	5THxB@Vs/)u%W/[h6,AVW.w	5THxB@Vs/)u%W/[h6,AVW.w	5THxB@Vs/)u%W/[h6,false
/@j_H'|7v,/@j_H'|7v,/@j_H'|7v,false
iS	sxF\#=~s<By8A,iS	sxF\#=~s<By8A,iS	sxF\#=~s<By8A,false
"9j4,4ggL?*e&FV^C=W
r s@U","9j4,4ggL?*e&FV^C=W
r s@U","9j4,4ggL?*e&FV^C=W
r s@U",false
dy'Xl,dy'Xl,dy'Xl,false
"kW
@GH)D
u5e(M$	y+	v?dd46Kai[JadNE	m^gE{e,1\Q!p>*","kW
@GH)D
u5e(M$	y+	v?dd46Kai[JadNE	m^gE{e,1\Q!p>*","kW
@GH)D
u5e(M$	y+	v?dd46Kai[JadNE	m^gE{e,1\Q!p>*",false
u[zRs]HvH>4aI8~LtFgSgu4|N!vtWMnU,u[zRs]HvH>4aI8~LtFgSgu4|N!vtWMnU,u[zRs]HvH>4aI8~LtFgSgu4|N!vtWMnU,false
[qxMcxx>$bv[ijmowub`,[qxMcxx>$bv[ijmowub`,[qxMcxx>$bv[ijmowub`,false
"=uR(ApQd@$LhZ+^OgMLSVA@]Ag-p
x0R$]u-^T","=uR(ApQd@$LhZ+^OgMLSVA@]Ag-p
x0R$]u-^T","=uR(ApQd@$LhZ+^OgMLSVA@]Ag-p
x0R$]u-^T",false
u;4nB	ViT5k|mVvT:7,u;4nB	ViT5k|mVvT:7,u;4nB	ViT5k|mVvT:7,false
"[j3#
5""9Q3{/m1qGe!g4	][3yB+=_n}k	UXYrP\nD~&4h{i","[j3#
5""9Q3{/m1qGe!g4	][3yB+=_n}k	UXYrP\nD~&4h{i","[j3#
5""9Q3{/m1qGe!g4	][3yB+=_n}k	UXYrP\nD~&4h{i",false
ov@8}If:wzIiF#,ov@8}If:wzIiF#,ov@8}If:wzIiF#,false
"(	y=h:NuW`,	4<	MXh`JikVY&-4vs;&>O$S:|%ZO	","(	y=h:NuW`,	4<	MXh`JikVY&-4vs;&>O$S:|%ZO	","(	y=h:NuW`,	4<	MXh`JikVY&-4vs;&>O$S:|%ZO	",false
&$wp\.{&{SnnPs@C:1KalF[U}64x.&d8v}NaR}C0|>,&$wp\.{&{SnnPs@C:1KalF[U}64x.&d8v}NaR}C0|>,&$wp\.{&{SnnPs@C:1KalF[U}64x.&d8v}NaR}C0|>,false
" 6 AopW;Q*t=q,cX1p%5E\Bvc#4G$xAdm`F{eE=rkAqVLk_6W"," 6 AopW;Q*t=q,cX1p%5E\Bvc#4G$xAdm`F{eE=rkAqVLk_6W"," 6 AopW;Q*t=q,cX1p%5E\Bvc#4G$xAdm`F{eE=rkAqVLk_6W",false
"!4x4L]C	&Ll5	&""6{MYjR;R""`gw1luQI78np0h","!4x4L]C	&Ll5	&""6{MYjR;R""`gw1luQI78np0h","!4x4L]C	&Ll5	&""6{MYjR;R""`gw1luQI78np0h",false
.O.g@E|>2j?Rq;;PSUps)P2HHc?S~B`U,.O.g@E|>2j?Rq;;PSUps)P2HHc?S~B`U,.O.g@E|>2j?Rq;;PSUps)P2HHc?S~B`U,false
"$)c+
R4-,do!,bgHSZBx}R1/Yg\N?%_
	","$)c+
R4-,do!,bgHSZBx}R1/Yg\N?%_
	","$)c+
R4-,do!,bgHSZBx}R1/Yg\N?%_
	",false
HZpM(X[	y'Z6Dc,HZpM(X[	y'Z6Dc,HZpM(X[	y'Z6Dc,false
"ha<V[=
HBXE","ha<V[=
HBXE","ha<V[=
HBXE",false
jhl1dz1\*2]4Dp*/9]e8_Tg1h]B**G,jhl1dz1\*2]4Dp*/9]e8_Tg1h]B**G,jhl1dz1\*2]4Dp*/9]e8_Tg1h]B**G,false
"] F|3b{5F{@r5{<@""N*|/TH[pBb[h
>hiR=	3","] F|3b{5F{@r5{<@""N*|/TH[pBb[h
>hiR=	3","] F|3b{5F{@r5{<@""N*|/TH[pBb[h
>hiR=	3",false
zJS$RS,zJS$RS,zJS$RS,false
tc4A0IV`%#/h3t9S'2u%K{P`*Y`38,tc4A0IV`%#/h3t9S'2u%K{P`*Y`38,tc4A0IV`%#/h3t9S'2u%K{P`*Y`38,false
)T yU=h,)T yU=h,)T yU=h,false
"?gHd|,vFCX#'}i]QWm","?gHd|,vFCX#'}i]QWm","?gHd|,vFCX#'}i]QWm",false
"5,twxY+11-t|lr;@8xtS>	IV[I?{r@b(<d]BgfH""","5,twxY+11-t|lr;@8xtS>	IV[I?{r@b(<d]BgfH""","5,twxY+11-t|lr;@8xtS>	IV[I?{r@b(<d]BgfH""",false
"tX	%bL8b1aK	V1KUEBzoWlIneyAW7I\LJvHc-, k5	","tX	%bL8b1aK	V1KUEBzoWlIneyAW7I\LJvHc-, k5	","tX	%bL8b1aK	V1KUEBzoWlIneyAW7I\LJvHc-, k5	",false
"	3/n}Y6
k*Z#x&R8!l6;EWVY886""p","	3/n}Y6
k*Z#x&R8!l6;EWVY886""p","	3/n}Y6
k*Z#x&R8!l6;EWVY886""p",false
")Zi:P
cu#j8f6jyOu@k]0>&l|{g;&%;q_)f'{\@X/m-eru",")Zi:P
cu#j8f6jyOu@k]0>&l|{g;&%;q_)f'{\@X/m-eru",")Zi:P
cu#j8f6jyOu@k]0>&l|{g;&%;q_)f'{\@X/m-eru",false
"VKbYH0:0_d@0OHU,d'P.3","VKbYH0:0_d@0OHU,d'P.3","VKbYH0:0_d@0OHU,d'P.3",false
"^^C(U`l|G""SP1Rj/8fB>A6U","^^C(U`l|G""SP1Rj/8fB>A6U","^^C(U`l|G""SP1Rj/8fB>A6U",false
w7N`,w7N`,w7N`,false
GiTw@%a<'pN6].1eIWqRMah^O\Dv2K9EFh,GiTw@%a<'pN6].1eIWqRMah^O\Dv2K9EFh,GiTw@%a<'pN6].1eIWqRMah^O\Dv2K9EFh,false
|$y{YOD@#\47++Tm,|$y{YOD@#\47++Tm,|$y{YOD@#\47++Tm,false
OW]5![184D)}G2:q6O0hl}}tSM@,OW]5![184D)}G2:q6O0hl}}tSM@,OW]5![184D)}G2:q6O0hl}}tSM@,false
" MK>	bON}TFj%]:1=<ND5^%>|,j-syL>O5
K\37"," MK>	bON}TFj%]:1=<ND5^%>|,j-syL>O5
K\37"," MK>	bON}TFj%]:1=<ND5^%>|,j-syL>O5
K\37",false
h:F%i$7,h:F%i$7,h:F%i$7,false
"YV h%JeqT#eQAmMB){\oRM@""`\Zxc	|B5Wy=5$t""Sf","YV h%JeqT#eQAmMB){\oRM@""`\Zxc	|B5Wy=5$t""Sf","YV h%JeqT#eQAmMB){\oRM@""`\Zxc	|B5Wy=5$t""Sf",false
"{b7EM+'j<+~6mGP9)o?;Bhz;^;udV`
M$daDlW	i","{b7EM+'j<+~6mGP9)o?;Bhz;^;udV`
M$daDlW	i","{b7EM+'j<+~6mGP9)o?;Bhz;^;udV`
M$daDlW	i",false
-D+pQ`HViX%)(=bQ[> 0LKxhR~6mbZ_d/L&|,-D+pQ`HViX%)(=bQ[> 0LKxhR~6mbZ_d/L&|,-D+pQ`HViX%)(=bQ[> 0LKxhR~6mbZ_d/L&|,false
"._l

On-yvHc3%f/KY@J","._l

On-yvHc3%f/KY@J","._l

On-yvHc3%f/KY@J",false
zpL@30=]=msH9Jh`O\mxP$u Z(,zpL@30=]=msH9Jh`O\mxP$u Z(,zpL@30=]=msH9Jh`O\mxP$u Z(,false
{B=c\m?~Pi{g?=	DzjRp-_cI,{B=c\m?~Pi{g?=	DzjRp-_cI,{B=c\m?~Pi{g?=	DzjRp-_cI,false
`^(M/oK?&^pa@dN	=ur0i-N)*64,`^(M/oK?&^pa@dN	=ur0i-N)*64,`^(M/oK?&^pa@dN	=ur0i-N)*64,false
=@}*{b9<.}E;XgIL@u4Os+FNtam\f4RyXlK6e9FgOk}J*S,=@}*{b9<.}E;XgIL@u4Os+FNtam\f4RyXlK6e9FgOk}J*S,=@}*{b9<.}E;XgIL@u4Os+FNtam\f4RyXlK6e9FgOk}J*S,false
N9.(|y7!s=vA6v\Hn\#,N9.(|y7!s=vA6v\Hn\#,N9.(|y7!s=vA6v\Hn\#,false
],],],false
"`'`KVhsN7|c%a?~^KL)jIsVLp)qrN2k;8+K,ZO0","`'`KVhsN7|c%a?~^KL)jIsVLp)qrN2k;8+K,ZO0","`'`KVhsN7|c%a?~^KL)jIsVLp)qrN2k;8+K,ZO0",false
"~
h-d?~k[k+vw@}}""=@!/rt""","~
h-d?~k[k+vw@}}""=@!/rt""","~
h-d?~k[k+vw@}}""=@!/rt""",false
"7Ru*rh5""5pI","7Ru*rh5""5pI","7Ru*rh5""5pI",false
"Tu<34ch,","Tu<34ch,","Tu<34ch,",false
"n<AtI:hz+:
%=('P""^tvY_z","n<AtI:hz+:
%=('P""^tvY_z","n<AtI:hz+:
%=('P""^tvY_z",false
"wA4PK%&""O0aQhC!(xPS	5<2(5","wA4PK%&""O0aQhC!(xPS	5<2(5","wA4PK%&""O0aQhC!(xPS	5<2(5",false
ByK	S$$K;'V]9&TQ;=aE8Fvf[k>sI/=Fqs]!M55,ByK	S$$K;'V]9&TQ;=aE8Fvf[k>sI/=Fqs]!M55,ByK	S$$K;'V]9&TQ;=aE8Fvf[k>sI/=Fqs]!M55,false
"""d\0VCam#6eU^/h_-d^;2}3\r{G7TW9l]+","""d\0VCam#6eU^/h_-d^;2}3\r{G7TW9l]+","""d\0VCam#6eU^/h_-d^;2}3\r{G7TW9l]+",false
" 5hd6\""YW""jV'HeD^\=gUE']$=j"," 5hd6\""YW""jV'HeD^\=gUE']$=j"," 5hd6\""YW""jV'HeD^\=gUE']$=j",false
%l	^R07S.RCX&,%l	^R07S.RCX&,%l	^R07S.RCX&,false
"R-QrqWNmp""`*ALQ4$I@""yiS2","R-QrqWNmp""`*ALQ4$I@""yiS2","R-QrqWNmp""`*ALQ4$I@""yiS2",false
a^'.ArseT_6v>cQhc!G4+8EZIQNjzyo^nLy>n uRi0	,a^'.ArseT_6v>cQhc!G4+8EZIQNjzyo^nLy>n uRi0	,a^'.ArseT_6v>cQhc!G4+8EZIQNjzyo^nLy>n uRi0	,false
:}Vf7,:}Vf7,:}Vf7,false
"i,-uK1SI)$q~/iM@ytwa(fgt?g1-_@]4?T5n<<L)-XVDP\2D","i,-uK1SI)$q~/iM@ytwa(fgt?g1-_@]4?T5n<<L)-XVDP\2D","i,-uK1SI)$q~/iM@ytwa(fgt?g1-_@]4?T5n<<L)-XVDP\2D",false
h9ZRh	$10v/hUGTd@M?yHQu:zi/e;w}>ndE,h9ZRh	$10v/hUGTd@M?yHQu:zi/e;w}>ndE,h9ZRh	$10v/hUGTd@M?yHQu:zi/e;w}>ndE,false
"7w%]nsY-r2C4]E
P! Cx-R/y8.b*+
","7w%]nsY-r2C4]E
P! Cx-R/y8.b*+
","7w%]nsY-r2C4]E
P! Cx-R/y8.b*+
",false
DfOe}[}&i=6*U>MAwYyfgJ,DfOe}[}&i=6*U>MAwYyfgJ,DfOe}[}&i=6*U>MAwYyfgJ,false
#-/+K.]BbS8Adx7HLr({P,#-/+K.]BbS8Adx7HLr({P,#-/+K.]BbS8Adx7HLr({P,false
L,L,L,false
u$~4*5AqicmN	8,u$~4*5AqicmN	8,u$~4*5AqicmN	8,false
"Ggh^[KT.ys""h_H,wK*iQDF	t","Ggh^[KT.ys""h_H,wK*iQDF	t","Ggh^[KT.ys""h_H,wK*iQDF	t",false
"!nuX\]#a'v&U\]s',r.B","!nuX\]#a'v&U\]s',r.B","!nuX\]#a'v&U\]s',r.B",false
&c,&c,&c,false
"'.U""]q8
O_^usMx4R[$A$","'.U""]q8
O_^usMx4R[$A$","'.U""]q8
O_^usMx4R[$A$",false
k3qx$cuZ(}$$X?!UgwV=QI^6d~D@<VjOvq\El	,k3qx$cuZ(}$$X?!UgwV=QI^6d~D@<VjOvq\El	,k3qx$cuZ(}$$X?!UgwV=QI^6d~D@<VjOvq\El	,false
"fx]apJ-JCo7C&4NpiCN""","fx]apJ-JCo7C&4NpiCN""","fx]apJ-JCo7C&4NpiCN""",false
t`fWuBWlp00bCk?c(FI)#|[.XviP~,t`fWuBWlp00bCk?c(FI)#|[.XviP~,t`fWuBWlp00bCk?c(FI)#|[.XviP~,false
l@:X1|.M*R?xB(kU)6Cs__r&R96	p8L|bb,l@:X1|.M*R?xB(kU)6Cs__r&R96	p8L|bb,l@:X1|.M*R?xB(kU)6Cs__r&R96	p8L|bb,false
p9Yi[	Y(3h,p9Yi[	Y(3h,p9Yi[	Y(3h,false
