train_input_1,train_output_1
"bmvk4+/;;2{C7H(Tf{,8","bbmmvvkk4+/;;2{CC7HH(TTff{,8"
GA_NKLx%'=FZ[;lC	,GGAA_NNKKLLxx%'=FFZZ[;llCC	
rh@PHLSNS2]A#Hp,rrhh@PPHHLLSSNNSS2]AA#HHpp
"o{!;U8v""A|","oo{!!!;UU8vv""AA|"
!HG9isir_\]0ZNUJm,!!!HHGG9iissiirr_\]0ZZNNUUJJmm
Do/Fw+B,DDoo/FFww+BB
^*{QTL{e,^*{QQTTLL{ee
h'}P2Pg&nbXhX,hh'}PP2PPgg&nnbbXXhhXX
|^NS@IXDD*Z KX8>,|^NNSS@IIXXDDDD*ZZ KKXX8>
9k*+q$,9kk*+qq$
iKi#!	,iiKKii#!!!	
"!bQ6pt
Ch|/hNy","!!!bbQQ6pptt
CChh|/hhNNyy"
"6~cQ3)#dp8V>-[
9;+3","6~ccQQ3)#ddpp8VV>-[
9;+3"
?6j.MQ(,?6jj.MMQQ(
<l,<ll
ZxK?O8u,ZZxxKK?OO8uu
39RNnUhD'^	Mi~f#D,39RRNNnnUUhhDD'^	MMii~ff#DD
;WJ~X>_Z#mht8hrzM0,;WWJJ~XX>_ZZ#mmhhtt8hhrrzzMM0
"~y,@?esu","~yy,@?eessuu"
flQrH=,ffllQQrrHH=
v96K^z-;tIT9bSWm	z,vv96KK^zz-;ttIITT9bbSSWWmm	zz
W7E%9P#,WW7EE%9PP#
"0`=""p","0`=""pp"
"D6pl4Fku[GDcfy,c
!E9","DD6ppll4FFkkuu[GGDDccffyy,cc
!!!EE9"
)x*+UVk`]3JE,)xx*+UUVVkk`]3JJEE
t=h!eHu$w,tt=hh!!!eeHHuu$ww
C	yrF)d8n,CC	yyrrFF)dd8nn
"cE,]{:rBFUn$}","ccEE,]{:rrBBFFUUnn$}"
"C0~+HN8""6,'Hp-zm8-D8","CC0~+HHNN8""6,'HHpp-zzmm8-DD8"
aok1 M	Y,aaookk1 MM	YY
~}={[,~}={[
">N4v+0h
Why",">NN4vv+0hh
WWhhyy"
"O&""5[
~8""t""6;~
vFz>M","OO&""5[
~8""tt""6;~
vvFFzz>MM"
^?9wY;U'iac0R2^,^?9wwYY;UU'iiaacc0RR2^
}.\fMW\@y	2mJR$R,}.\ffMMWW\@yy	2mmJJRR$RR
z-*Gh\,zz-*GGhh\
b,bb
zJNH,zzJJNNHH
"G9C|jZRD@)ys@s
b","GG9CC|jjZZRRDD@)yyss@ss
bb"
\&bu@ WY++BX2 Yb*r,\&bbuu@ WWYY++BBXX2 YYbb*rr
Uy{tZ O(92X>1uN,UUyy{ttZZ OO(92XX>1uuNN
"EKWdj*,`h##zI","EEKKWWddjj*,`hh##zzII"
Z=&!y4,ZZ=&!!!yy4
"
tBt&@\Va^0W>-Vy","
ttBBtt&@\VVaa^0WW>-VVyy"
"l?S~wCze4j,=O-)-","ll?SS~wwCCzzee4jj,=OO-)-"
uH*{	Z,uuHH*{	ZZ
k$j 2w4Qyi+L`}?,kk$jj 2ww4QQyyii+LL`}?
`,`
rPDA[ ,rrPPDDAA[ 
j,jj
oMGuyhf2a2,ooMMGGuuyyhhff2aa2
F.dXBIb,FF.ddXXBBIIbb
g !X+46/hZz}'G+J7,gg !!!XX+46/hhZZzz}'GG+JJ7
::H,::HH
"||)>0VIJFP4""","||)>0VVIIJJFFPP4"""
&p+7sm#o6w&2E*Y2}HU@,&pp+7ssmm#oo6ww&2EE*YY2}HHUU@
"{+>O$WAa
U ~-s!#","{+>OO$WWAAaa
UU ~-ss!!!#"
#n-OCy0/j'f,#nn-OOCCyy0/jj'ff
{yaXaN%	=!5@*mZ@?},{yyaaXXaaNN%	=!!!5@*mmZZ@?}
QK5,QQKK5
"A$8RZdPF\
M`DZ`4gG","AA$8RRZZddPPFF\
MM`DDZZ`4ggGG"
Nn7b-'8?`;{Bd:,NNnn7bb-'8?`;{BBdd:
%G,%GG
#;XyI?WkUv>.:`y0F,#;XXyyII?WWkkUUvv>.:`yy0FF
ctM,ccttMM
]ueB,]uueeBB
":,\s""=s",":,\ss""=ss"
x`A7 O@g GL,xx`AA7 OO@gg GGLL
"N):@mVNs`Kd^hg
@4'","NN):@mmVVNNss`KKdd^hhgg
@4'"
":""	;:",":""	;:"
)znKNPum!Y?,)zznnKKNNPPuumm!!!YY?
"QjRx,9TvG,NFjy([u0","QQjjRRxx,9TTvvGG,NNFFjjyy([uu0"
T%3HAX}3WnGv1Ah(,TT%3HHAAXX}3WWnnGGvv1AAhh(
weH=}CO,wweeHH=}CCOO
v,vv
~*NnkaK;3,~*NNnnkkaaKK;3
VN){ Zy8M7w,VVNN){ ZZyy8MM7ww
koa|4A1_G6e,kkooaa|4AA1_GG6ee
[,[
SA iRY$+G4{bsn,SSAA iiRRYY$+GG4{bbssnn
Or4>g)>6mQ,OOrr4>gg)>6mmQQ
wB}|f;vs%,wwBB}|ff;vvss%
"if$7!""\H1Jr!2	T:j","iiff$7!!!""\HH1JJrr!!!2	TT:jj"
"f7
|","ff7
|"
{TJp,{TTJJpp
"5GZ6,[ij	;3TH$9","5GGZZ6,[iijj	;3TTHH$9"
190Dy1,190DDyy1
6uO~UTA,6uuOO~UUTTAA
"OJw1n#03W
XuA`,(","OOJJww1nn#03WW
XXuuAA`,("
",",","
%}bCPglf~VdX0{P1AWC	,%}bbCCPPggllff~VVddXX0{PP1AAWWCC	
FZcm	1|K2!D{`,FFZZccmm	1|KK2!!!DD{`
]0,]0
1I!>,1II!!!>
"c8YDhwV<2+""lU!e","cc8YYDDhhwwVV<2+""llUU!!!ee"
"_{ZT5(3>q^b
SoH^? YQ","_{ZZTT5(3>qq^bb
SSooHH^? YYQQ"
",p?{8~/tW8|M",",pp?{8~/ttWW8|MM"
@{SwK>GhV~h4h,@{SSwwKK>GGhhVV~hh4hh
"'dcFm6ZyO<
c","'ddccFFmm6ZZyyOO<
cc"
"&
H%{ABA-<y!M)	)\","&
HH%{AABBAA-<yy!!!MM)	)\"
"sb""W!a0r<31ty\","ssbb""WW!!!aa0rr<31ttyy\"
'C|iX<Q`[wr,'CC|iiXX<QQ`[wwrr
w!.E7nAb(=\,ww!!!.EE7nnAAbb(=\
&Od<A~ChC[95n3,&OOdd<AA~CChhCC[95nn3
q)kq=+WyEl)Y!9Z{=D\/,qq)kkqq=+WWyyEEll)YY!!!9ZZ{=DD\/
^!-vIx @[Ze:I	=7@Kj6,^!!!-vvIIxx @[ZZee:II	=7@KKjj6
Avzc@,AAvvzzcc@
64,64
M,MM
",<^}+^{0	[kyA2ji:M",",<^}+^{0	[kkyyAA2jjii:MM"
&|czqa.Y0,&|cczzqqaa.YY0
"
A	xodvr","
AA	xxooddvvrr"
J$g?Gg&[d'>B%,JJ$gg?GGgg&[dd'>BB%
}2/_1qaXfWOp,}2/_1qqaaXXffWWOOpp
]]C~EeVm\Ik|iVWf5j\,]]CC~EEeeVVmm\IIkk|iiVVWWff5jj\
FF'nEU,FFFF'nnEEUU
;{d}zs(b,;{dd}zzss(bb
E,EE
"A$4lSi1ZF8b/x+r
","AA$4llSSii1ZZFF8bb/xx+rr
"
8y[,8yy[
.dV1y9*rbdB'C$Q^\,.ddVV1yy9*rrbbddBB'CC$QQ^\
MwZ4g,MMwwZZ4gg
"	,ump	","	,uummpp	"
X&RGO!R^ox5Z)S,XX&RRGGOO!!!RR^ooxx5ZZ)SS
Y(OVp*~!Mq&JU,YY(OOVVpp*~!!!MMqq&JJUU
"m-""","mm-"""
v)kaNaWom<z;Bf[,vv)kkaaNNaaWWoomm<zz;BBff[
")Q%,3\mFl,|M;M8%U(",")QQ%,3\mmFFll,|MM;MM8%UU("
()SVV:-aPz#7VU,()SSVVVV:-aaPPzz#7VVUU
*XYYB,*XXYYYYBB
s>X]YPX]6SEh8,ss>XX]YYPPXX]6SSEEhh8
F	yuIl:H9J2?^O[sV%,FF	yyuuIIll:HH9JJ2?^OO[ssVV%
>,>
"d
@\;AY$L=nLd","dd
@\;AAYY$LL=nnLLdd"
DQ+T,DDQQ+TT
"_FyM'~Hfd`
=)e /Dul","_FFyyMM'~HHffdd`
=)ee /DDuull"
mG1=M<'FT!k)>gFRP7_@,mmGG1=MM<'FFTT!!!kk)>ggFFRRPP7_@
I0pQ9\,II0ppQQ9\
PCnL&,PPCCnnLL&
'S3v(tl`|@l0*~y=,'SS3vv(ttll`|@ll0*~yy=
(~ +,(~ +
sIg J$,ssIIgg JJ$
WeT.iy(BrWw ,WWeeTT.iiyy(BBrrWWww 
"}fka@zQEG %&0H|;j
","}ffkkaa@zzQQEEGG %&0HH|;jj
"
qB^,qqBB^
UL,UULL
n8_B~cO@zUIO*XDk,nn8_BB~ccOO@zzUUIIOO*XXDDkk
"$nrWl^wu3'4FFW
{3","$nnrrWWll^wwuu3'4FFFFWW
{3"
"Is+G4_ykw}&,HzK","IIss+GG4_yykkww}&,HHzzKK"
5e4$,5ee4$
q2w,qq2ww
kC &6w9q%R9H]Np.o,kkCC &6ww9qq%RR9HH]NNpp.oo
dF|%TJf_]=g&A],ddFF|%TTJJff_]=gg&AA]
kVij,kkVViijj
"B>@>lbu|rX^T)jL
W}ov","BB>@>llbbuu|rrXX^TT)jjLL
WW}oovv"
Z|)!'9EnWu_=IfnxU_0>,ZZ|)!!!'9EEnnWWuu_=IIffnnxxUU_0>
d3eedzDs	\p,dd3eeeeddzzDDss	\pp
on ):$M4+,oonn ):$MM4+
"(kQfe""K\","(kkQQffee""KK\"
>aD.qNpvn[EQ:,>aaDD.qqNNppvvnn[EEQQ:
^a<gs$Tc,^aa<ggss$TTcc
zgp;xXnR,zzggpp;xxXXnnRR
FT+a!H'tVbMT6(?,FFTT+aa!!!HH'ttVVbbMMTT6(?
&n(=?G&mAnhg(.9ZX}@,&nn(=?GG&mmAAnnhhgg(.9ZZXX}@
/~,/~
Di*FiDskB[j8sE|yN,DDii*FFiiDDsskkBB[jj8ssEE|yyNN
wlAY_085CO,wwllAAYY_085CCOO
8~$Rz,8~$RRzz
-HV$.Q %_[u*-,-HHVV$.QQ %_[uu*-
"x$s,+re*|dIhHvH#(t","xx$ss,+rree*|ddIIhhHHvvHH#(tt"
"C""tmFke+B:~JPjG","CC""ttmmFFkkee+BB:~JJPPjjGG"
#Cg3RgWnbEYM,#CCgg3RRggWWnnbbEEYYMM
I^#OpcT(I/l16fR+U`,II^#OOppccTT(II/ll16ffRR+UU`
4`g;0Xiu>gOwt93>~,4`gg;0XXiiuu>ggOOwwtt93>~
F#_E2/i*(,FF#_EE2/ii*(
N-.(E8{JKyD(u:xAVO$,NN-.(EE8{JJKKyyDD(uu:xxAAVVOO$
~m,~mm
n`4@dF,nn`4@ddFF
wma2-AFA`cRkSX]60,wwmmaa2-AAFFAA`ccRRkkSSXX]60
"dG,ytlk/","ddGG,yyttllkk/"
"p?G]Y?jp
nb:=_","pp?GG]YY?jjpp
nnbb:=_"
":gr""4cl}U!Z>_FHQ",":ggrr""4ccll}UU!!!ZZ>_FFHHQQ"
"sV/\v:,/","ssVV/\vv:,/"
RPL +-tx6iDaN9<3,RRPPLL +-ttxx6iiDDaaNN9<3
"2O0}.
Xz|j","2OO0}.
XXzz|jj"
&-{y>i-K5V&s)v%S^,&-{yy>ii-KK5VV&ss)vv%SS^
"j;-]$,","jj;-]$,"
f	S |	t8oiqpSuzI1(Zu,ff	SS |	tt8ooiiqqppSSuuzzII1(ZZuu
InziF<nl,IInnzziiFF<nnll
OuHoq@3)Y(AwhON7;*B,OOuuHHooqq@3)YY(AAwwhhOONN7;*BB
@ K?1[% >j'GK/r+:?,@ KK?1[% >jj'GGKK/rr+:?
b*<o2,bb*<oo2
\~_|OoC@,\~_|OOooCC@
S8Qb'8><+Rcv(:v9102l,SS8QQbb'8><+RRccvv(:vv9102ll
Mg!z,MMgg!!!zz
<X/;I])*F3(}6}t,<XX/;II])*FF3(}6}tt
RhA(G?ME,RRhhAA(GG?MMEE
"[yYmEw+:^fB|""JR\@p","[yyYYmmEEww+:^ffBB|""JJRR\@pp"
"t
N%E""]_\\*Q?>$+","tt
NN%EE""]_\\*QQ?>$+"
dEp,ddEEpp
"
=;wCO_`O.","
=;wwCCOO_`OO."
"=vEu>pF[i""r","=vvEEuu>ppFF[ii""rr"
"Xj!f<K[hD"">bwIVg_>1","XXjj!!!ff<KK[hhDD"">bbwwIIVVgg_>1"
"3=Q+a3zZ^0,","3=QQ+aa3zzZZ^0,"
vK*-UzS@zee)*CCy,vvKK*-UUzzSS@zzeeee)*CCCCyy
jO,jjOO
"Q7uZBVh1""E- U)L5/b+","QQ7uuZZBBVVhh1""EE- UU)LL5/bb+"
$.}FNhS0;ba97&,$.}FFNNhhSS0;bbaa97&
<oFETM0,<ooFFEETTMM0
..Ct48K`k3-A1g:J#,..CCtt48KK`kk3-AA1gg:JJ#
B<J,BB<JJ
sf@k{`XDq~O|}k^,ssff@kk{`XXDDqq~OO|}kk^
