train_input_1,train_output_1
k frozf tq rr wnvkivxovsfbgg i ccl rks gtrp,kay rozffay qtay rray nvkivxovsfbggway iay clcay ksray trpgay
qcoyzyzahnnuh,coyzyzahnnuhqay
ovyrmh bapybq g dbpspcfwkh,ovyrmhay apybqbay gay bpspcfwkhday
pjw x v eytd sfn olrn xjbj fpf weqqqc s,jwpay xay vay eytday fnsay olrnay jbjxay pffay eqqqcway say
kigxfmwu osqts wyacumk ptalhn,igxfmwukay osqtsay yacumkway talhnpay
efhjcyyls d hy k plhwcn ffnzzowum zzpxjx,efhjcyylsay day yhay kay lhwcnpay fnzzowumfay zpxjxzay
uvaw u urp,uvaway uay urpay
ynjlsozmhjig a l yaajq ub okbvupi nnowysn,njlsozmhjigyay aay lay aajqyay ubay okbvupiay nowysnnay
zq za w foxihuyihb apwy cxh,qzay azay way oxihuyihbfay apwyay xhcay
icfu yipq,icfuay ipqyay
ggkmgh pa sphv saknfstth evnpf ubdjqf z l,gkmghgay apay phvsay aknfstthsay evnpfay ubdjqfay zay lay
ecl ocqwljd phjy kgaeqe wg mopt lx,eclay ocqwljday hjypay gaeqekay gway optmay xlay
cnooz spopfz e,noozcay popfzsay eay
grkhkntlzg vhdaxfzo,rkhkntlzggay hdaxfzovay
t osbpfg kxr jvgzjq,tay osbpfgay xrkay vgzjqjay
lp z cy,play zay ycay
x efsbvmipenpvo,xay efsbvmipenpvoay
wugd uokhdt yskzhlm,ugdway uokhdtay skzhlmyay
pajnzm g zqi tiyeuhnzadlbbqivsr g,ajnzmpay gay qizay iyeuhnzadlbbqivsrtay gay
kwjy avrsg o jmhd k,wjykay avrsgay oay mhdjay kay
p lntka mcg pxrki inonpldoaxbm d,pay ntkalay cgmay xrkipay inonpldoaxbmay day
t ljlebvfnk oo vb a h,tay jlebvfnklay ooay bvay aay hay
t itufh qj,tay itufhay jqay
xpagnyqku esydmattqda elymf ryi gj,pagnyqkuxay esydmattqdaay elymfay yiray jgay
am tr,amay rtay
tsnydfa oqq vthrbnenulwwga,snydfatay oqqay thrbnenulwwgavay
wwg kxws hp rgg ribk vukzovl,wgway xwskay phay ggray ibkray ukzovlvay
rjj pw,jjray wpay
a ajgw,aay ajgway
u lqoq lsxe d diancxv hpkwhrdywpyxlfgz,uay qoqlay sxelay day iancxvday pkwhrdywpyxlfgzhay
edcywzbfm mn gv ubdkqtclmbzetpjk l,edcywzbfmay nmay vgay ubdkqtclmbzetpjkay lay
plb pp cj ai wafx n,lbpay ppay jcay aiay afxway nay
test_input_1,test_output_1
nupufinu vyosjxh r,upufinunay yosjxhvay ray
wvaffcwzkc o teo iw rsbdvh,vaffcwzkcway oay eotay iway sbdvhray
ndxmhpb,dxmhpbnay
iyda ey htrsltgkmjcugg panrwlrpqqpq tms bthgjrxdw,iydaay eyay trsltgkmjcugghay anrwlrpqqpqpay mstay thgjrxdwbay
f cgwrkqt,fay gwrkqtcay
isxsd,isxsday
dml lif qqkdynoo iaiywyjc lw,mlday iflay qkdynooqay iaiywyjcay wlay
y xek wwkupmszwlp d dawqc atlmak jelnvv,yay ekxay wkupmszwlpway day awqcday atlmakay elnvvjay
fhgpkp jwii oenuzn,hgpkpfay wiijay oenuznay
bqyz hvrrkhci kuwyajelnnwq x ig sdtpn b,qyzbay vrrkhcihay uwyajelnnwqkay xay igay dtpnsay bay
bmosm v xhr i sujhvxl r kazo d bcd,mosmbay vay hrxay iay ujhvxlsay ray azokay day cdbay
aont x wgrcyjewedcgnhxntdedxsxhvozcwmq rmpnhw q,aontay xay grcyjewedcgnhxntdedxsxhvozcwmqway mpnhwray qay
m emq ydputhxnp v t zwpt jqwz gx yw,may emqay dputhxnpyay vay tay wptzay qwzjay xgay wyay
dytqdn ct wgc uovhj j ictewh v b rcupkfq g bfm,ytqdnday tcay gcway uovhjay jay ictewhay vay bay cupkfqray gay fmbay
gegbvksyrxao,egbvksyrxaogay
wgpwnmaaoacnx eq de faspzv ust q ic,gpwnmaaoacnxway eqay eday aspzvfay ustay qay icay
jnlnhfg qeoqbdr k,nlnhfgjay eoqbdrqay kay
gkq f udl,kqgay fay udlay
bfpoi boo hlvhoyo cink o,fpoibay oobay lvhoyohay inkcay oay
srgxkp e oatj y uxmftw vfgl fd,rgxkpsay eay oatjay yay uxmftway fglvay dfay
ar ajnw aurliitu av eip wghkfjrt ay tz bpq,aray ajnway aurliituay avay eipay ghkfjrtway ayay ztay pqbay
xqhhxtr zeiwzoexf k bw,qhhxtrxay eiwzoexfzay kay wbay
iaswpexj bw zruuy,iaswpexjay wbay ruuyzay
wom kxdr tm,omway xdrkay mtay
arkwnh f g,arkwnhay fay gay
d kgfjstfrqb zlsq haqmjczm stphmqgsgasez nthzadcu,day gfjstfrqbkay lsqzay aqmjczmhay tphmqgsgasezsay thzadcunay
l ylcoee azhkivlrzokwwnqfqhykyhhu,lay lcoeeyay azhkivlrzokwwnqfqhykyhhuay
y xlrwo,yay lrwoxay
uqm,uqmay
rentxnv,entxnvray
tssw vnjvlfgebhofx a y,sswtay njvlfgebhofxvay aay yay
x yrczisak si gjor zq cwyfsgamn,xay rczisakyay isay jorgay qzay wyfsgamncay
lr ysqea xmdz vhuxjppuc,rlay sqeayay mdzxay huxjppucvay
cjh zrfhnxkmj wibmuopqyowkqx izwu,jhcay rfhnxkmjzay ibmuopqyowkqxway izwuay
zvnsq jc jo re mccdslhbl qth u dodnurn,vnsqzay cjay ojay eray ccdslhblmay thqay uay odnurnday
o o d i qsa bibhf p v fpkvqj az jw,oay oay day iay saqay ibhfbay pay vay pkvqjfay azay wjay
oklcsoaw pk rkghioelk meza cmtlyrrq xb k ytht,oklcsoaway kpay kghioelkray ezamay mtlyrrqcay bxay kay thtyay
nhbrqjlojx qxmxr knj,hbrqjlojxnay xmxrqay njkay
frw shplw vibavva fpkp aexqeirfz jgnph,rwfay hplwsay ibavvavay pkpfay aexqeirfzay gnphjay
po ooidpxirzu qypqjvp j cw tjfox,opay ooidpxirzuay ypqjvpqay jay wcay jfoxtay
n bb shvxoktsf tlku hmawhab djtsxuoj,nay bbay hvxoktsfsay lkutay mawhabhay jtsxuojday
uxyy p lporlpac wqyx eom zuocdlul jfjekm b,uxyyay pay porlpaclay qyxway eomay uocdlulzay fjekmjay bay
dfxcvscgjrupw lt hliaseolip s vdsldtqavu,fxcvscgjrupwday tlay liaseoliphay say dsldtqavuvay
t khgzx bq tqacq ndgxqyq ks,tay hgzxkay qbay qacqtay dgxqyqnay skay
nvi jioes ocwb y,vinay ioesjay ocwbay yay
cph m vyoyod zmi yka r vpuzdjoqpyjgt tjobr,phcay may yoyodvay mizay kayay ray puzdjoqpyjgtvay jobrtay
txzjgjrkey lvlp l k atrcgpyokl m ipnkxg,xzjgjrkeytay vlplay lay kay atrcgpyoklay may ipnkxgay
cqjxdyehqzv d p,qjxdyehqzvcay day pay
guw gzynmppjquzefxp wnoej,uwgay zynmppjquzefxpgay noejway
koxmahmsqoavwlmcmgczh hvvm iyrybfci,oxmahmsqoavwlmcmgczhkay vvmhay iyrybfciay
fqp k dvzihbgvpjaor afenju ihv gh,qpfay kay vzihbgvpjaorday afenjuay ihvay hgay
bghd jcfwy rpbr bql rwbbyxnpndjf okssfc eiidgd,ghdbay cfwyjay pbrray qlbay wbbyxnpndjfray okssfcay eiidgday
jdm bbcjzivxe vdizpbwovgjrgx qpiecnp,dmjay bcjzivxebay dizpbwovgjrgxvay piecnpqay
k la,kay alay
npiheyxmyghb ufj xgdlrkp o j,piheyxmyghbnay ufjay gdlrkpxay oay jay
bso qrg y fp chhhanjilyqjsmxllg ywzukem,sobay rgqay yay pfay hhhanjilyqjsmxllgcay wzukemyay
qxwvm ygpvjf jefy fecnvjyk wylagluvs,xwvmqay gpvjfyay efyjay ecnvjykfay ylagluvsway
x pqabiqkzvmp pl tfsdxh rpc ui hb,xay qabiqkzvmppay lpay fsdxhtay pcray uiay bhay
u dgg imdg qn bnvuans nmnit wrgd xloz,uay ggday imdgay nqay nvuansbay mnitnay rgdway lozxay
iddipm,iddipmay
fb z,bfay zay
elwogdybczxvrin ybcgrll bmvp t e f,elwogdybczxvrinay bcgrllyay mvpbay tay eay fay
uouh dgh xm,uouhay ghday mxay
i mlwrqienilrr hv pjlr t,iay lwrqienilrrmay vhay jlrpay tay
ccnny ntsno do owi,cnnycay tsnonay oday owiay
upi azmvagaxn,upiay azmvagaxnay
yi gnsahs ru pm h jpcfxpecqxhhk bo igk v v,iyay nsahsgay uray mpay hay pcfxpecqxhhkjay obay igkay vay vay
h p tbvp mvgnxhbagc npq co ddmbui ceegit,hay pay bvptay vgnxhbagcmay pqnay ocay dmbuiday eegitcay
sh endm w zymfr dtedww irg whdpaf,hsay endmay way ymfrzay tedwwday irgay hdpafway
hr abcbmy sxndrlivog eqbaa hx tdufwzejqijbje,rhay abcbmyay xndrlivogsay eqbaaay xhay dufwzejqijbjetay
ahw wub,ahway ubway
czmps,zmpscay
dvyrflm vdzz n qvvjhmesndzacpssomybnsythp pb,vyrflmday dzzvay nay vvjhmesndzacpssomybnsythpqay bpay
ll pitloxj fiuheozk v e rpcgiwmfjw d,llay itloxjpay iuheozkfay vay eay pcgiwmfjwray day
ookni d cb qrr s,ookniay day bcay rrqay say
rtt cibu fe a dro mhk gsn oynttl ucabyg,ttray ibucay efay aay roday hkmay sngay oynttlay ucabygay
kdbj rieifrp oaznhjcxplsv dyceo qr cepykfdn,dbjkay ieifrpray oaznhjcxplsvay yceoday rqay epykfdncay
lj dx zowbhpz ynw yk ncws yoxyrmispj aobnau,jlay xday owbhpzzay nwyay kyay cwsnay oxyrmispjyay aobnauay
jwqflxjy b cffztpipnx svexz idvk i fc ocp,wqflxjyjay bay ffztpipnxcay vexzsay idvkay iay cfay ocpay
zuqt,uqtzay
vrfqwurrb exu xulssgfghzmveyhc pf idz d,rfqwurrbvay exuay ulssgfghzmveyhcxay fpay idzay day
yynfbqkbyevdm zsfruu tinjqmhmn vqz kdycmeimhp r,ynfbqkbyevdmyay sfruuzay injqmhmntay qzvay dycmeimhpkay ray
ndeuehrxy nphcxdr x fnouy sck,deuehrxynay phcxdrnay xay nouyfay cksay
jfbullmeuuwsf jlf qmgpzax h g,fbullmeuuwsfjay lfjay mgpzaxqay hay gay
n niyskzqyd nwpg ke k vxgp jakauv yqsceix wq wljke,nay iyskzqydnay wpgnay ekay kay xgpvay akauvjay qsceixyay qway ljkeway
e lbxppa byu ekeufq yeu yqj m iziqpmxov,eay bxppalay yubay ekeufqay euyay qjyay may iziqpmxovay
b cavyniu pqem fqzkvghlq x mf,bay avyniucay qempay qzkvghlqfay xay fmay
u g jpar xk iatlpimk,uay gay parjay kxay iatlpimkay
qcq wktx ood,cqqay ktxway ooday
hrvwypwyqcf abp ahyghzjyux a kxi hifoblxl at,rvwypwyqcfhay abpay ahyghzjyuxay aay xikay ifoblxlhay atay
nxejmr itxsiodg huvl,xejmrnay itxsiodgay uvlhay
ap vytn nsb vj vsttjiqflaouyt mgb fslmrx,apay ytnvay sbnay jvay sttjiqflaouytvay gbmay slmrxfay
km cb ohfunpugl ltmfotpjx vxo,mkay bcay ohfunpuglay tmfotpjxlay xovay
mv peunfaz g splr gi lhup w z,vmay eunfazpay gay plrsay igay huplay way zay
c ri zjvxb u,cay iray jvxbzay uay
be y r ja rik hy,ebay yay ray ajay ikray yhay
p pb dheskrh xmjenq vz,pay bpay heskrhday mjenqxay zvay
b grdom qdumwciumo idhtmxn m uze acdnmc pj etqmv,bay rdomgay dumwciumoqay idhtmxnay may uzeay acdnmcay jpay etqmvay
zw kub,wzay ubkay
m grwncwoe v hgt luvzuojvnnsfjet vpngouqz,may rwncwoegay vay gthay uvzuojvnnsfjetlay pngouqzvay
lvwirqm xpj pgqawpquy lwtmogc uodk xb czax,vwirqmlay pjxay gqawpquypay wtmogclay uodkay bxay zaxcay
bh jdtt f v,hbay dttjay fay vay
xpa,paxay
wrhhxuow p uuolk j ggngwir fmzaoiaijbj rgc,rhhxuowway pay uuolkay jay gngwirgay mzaoiaijbjfay gcray
oe f kfi y uoioqwbwvv l i,oeay fay fikay yay uoioqwbwvvay lay iay
susla tffmjanilmn t ca utvim,uslasay ffmjanilmntay tay acay utvimay
afapamawx dyiimizusxsxw xirkxa yifmyf,afapamawxay yiimizusxsxwday irkxaxay ifmyfyay
ltkg hsnisowgg o wxy,tkglay snisowgghay oay xyway
lurngvzqjsl n ub he zvki hqywas,urngvzqjsllay nay ubay ehay vkizay qywashay
dwr ibrh qyjtdz whk,wrday ibrhay yjtdzqay hkway
ai ysdespymsb kujhupbtpxtr nz f n kuy kcfmr,aiay sdespymsbyay ujhupbtpxtrkay znay fay nay uykay cfmrkay
j k wcr gri jr,jay kay crway rigay rjay
e mzp,eay zpmay
ufaphg,ufaphgay
ior uxykaqyr,ioray uxykaqyray
vciwt ue a nudehzrnyxym bialo bkh cdll hrq dp,ciwtvay ueay aay udehzrnyxymnay ialobay khbay dllcay rqhay pday
qvhj rmablmbviogbprypplvo jn r ty ge,vhjqay mablmbviogbprypplvoray njay ray ytay egay
v rncl hdf yoj pfpxisvckfafzg hiwglw,vay nclray dfhay ojyay fpxisvckfafzgpay iwglwhay
v fcq cyls jxhco d ikp fhpygm kdze,vay cqfay ylscay xhcojay day ikpay hpygmfay dzekay
rksraor fjhi,ksraorray jhifay
wemuk jrcw gleboe sctxrunpx,emukway rcwjay leboegay ctxrunpxsay
erdf iokzt fmf,erdfay iokztay mffay
l bblsoetkjadbipbmav llj tjqwonrc lmfh in,lay blsoetkjadbipbmavbay ljlay jqwonrctay mfhlay inay
rp,pray
da cdgr xplmqcnmeu wwahvjxaom r n,aday dgrcay plmqcnmeuxay wahvjxaomway ray nay
hmm eakvgbw z myw j,mmhay eakvgbway zay ywmay jay
wiku ylsbta s,ikuway lsbtayay say
wotfdlso h gbiadnd tkxnawymymnzxbzgjrns m,otfdlsoway hay biadndgay kxnawymymnzxbzgjrnstay may
l htru sq m hbdbwdketlln,lay truhay qsay may bdbwdketllnhay
bqj,qjbay
pzyq cbnlwg,zyqpay bnlwgcay
ltjkeinbjec r p uuom pe yh uj pxr j u,tjkeinbjeclay ray pay uuomay epay hyay ujay xrpay jay uay
txujq trpgp rpxkugxgtfjlx qi a nk,xujqtay rpgptay pxkugxgtfjlxray iqay aay knay
uqacmc b,uqacmcay bay
kafrc v vlntbfv yi iaszqw jq xhd x nwqs i zi,afrckay vay lntbfvvay iyay iaszqway qjay hdxay xay wqsnay iay izay
a wjmiav msx gkb qztokfjzkpkyxe eju g tjm,aay jmiavway sxmay kbgay ztokfjzkpkyxeqay ejuay gay jmtay
vopbcz w,opbczvay way
bjfzmqye jwtr lce x pl dl,jfzmqyebay wtrjay celay xay lpay lday
xhkk,hkkxay
hpsrf devfzgumzhxibnjttaibkccvjq b d mlvn,psrfhay evfzgumzhxibnjttaibkccvjqday bay day lvnmay
wz fqsgeoo qv n dllu frotht rtcsrpofrpsgegmy vhzt,zway qsgeoofay vqay nay lluday rothtfay tcsrpofrpsgegmyray hztvay
