train_input_1,train_output_1
"%9,b#[<): ]""i.|y",The number of syllables is 2
(,The number of syllables is 0
"a>xoy""ejjay",The number of syllables is 6
6`yu6ni`oj' u,The number of syllables is 5
e$f4*=*w~&*u8_,The number of syllables is 2
x'y_od[l1obr,The number of syllables is 3
eauxu]@|2eu^c~#ey,The number of syllables is 8
%~or`1$up*7\4,The number of syllables is 2
) u`[-;(7qje:u,The number of syllables is 3
a,The number of syllables is 1
#m,The number of syllables is 0
nuelf,The number of syllables is 2
wwiy`d=,The number of syllables is 2
&oe9?obck_))ac,The number of syllables is 4
"%qe&_gkj+a'p,y0ai",The number of syllables is 5
.fryu1#2,The number of syllables is 2
]u[ye{i-y:!?c:,The number of syllables is 5
0sx+\75[``e?r.n,The number of syllables is 1
|,The number of syllables is 0
r8(o15]#3w{yo2g,The number of syllables is 3
{o7?i8if+<{si.@+,The number of syllables is 4
=mq7po<aqo*<oy,The number of syllables is 5
eora\jk}ol@y[m-8di>i,The number of syllables is 7
"f""zoyaynui2w()",The number of syllables is 6
>z@a/~>j=,The number of syllables is 1
a#e!@0y:? ,The number of syllables is 3
j$uoxyzi*:y7.v*o&#1o,The number of syllables is 7
}m]*1,The number of syllables is 0
>hpm?~d75&y*{',The number of syllables is 1
i8o&wiii8ue+{o-4e/i,The number of syllables is 10
",~c,6g;dr4u2-gd8""=%9",The number of syllables is 1
",[-j4.1+a",The number of syllables is 1
}0:-+}},The number of syllables is 0
[4,The number of syllables is 0
gugrigs+)=e,The number of syllables is 3
"xy$j?i""",The number of syllables is 2
u^a{o(-,The number of syllables is 3
f,The number of syllables is 0
ga5dj&y_?rg9l[%9cd,The number of syllables is 2
$ae-,The number of syllables is 2
 fqeew%[,The number of syllables is 2
9`'`aov5oy,The number of syllables is 4
v01o)oo'z?u5,The number of syllables is 4
uu2f&ala$xe;j>b1;s,The number of syllables is 5
#tn,The number of syllables is 0
qc\;<]2,The number of syllables is 0
tu}aaqev/ho)wek,The number of syllables is 6
9/,The number of syllables is 0
q2-[:a}=;in]`>k$,The number of syllables is 2
s)e2xee1=mq':,The number of syllables is 3
mw,The number of syllables is 0
"]~pl'w@~,gr)m5v aa2%",The number of syllables is 2
>fif-a(,The number of syllables is 2
e^9lvf |~:^n<u,The number of syllables is 2
oo&v,The number of syllables is 2
+$_]uu-yzdgyq,The number of syllables is 4
i=~}xmt_o2;u,The number of syllables is 3
"""$ocz7",The number of syllables is 1
.odn]am:a=6o;u-3y,The number of syllables is 6
=z:8i_ui,The number of syllables is 3
"$ly*&3w9u^ v>,)",The number of syllables is 2
7y]y@i=j}ahi;*6,The number of syllables is 5
o~:ieqt]$j\zwe5wr}yg,The number of syllables is 5
z|]m=:xkvy16f*io2c@,The number of syllables is 3
/=ku$uis'#esou,The number of syllables is 6
"?-mov,$>tei ",The number of syllables is 3
g_}!;at6@,The number of syllables is 1
o.ey_neic,The number of syllables is 5
&p~ncqb/oozez2cfa(,The number of syllables is 4
9c+b;y,The number of syllables is 1
ip9v\,The number of syllables is 1
ad!|,The number of syllables is 1
n{b+^i0a,The number of syllables is 2
"=cu>""",The number of syllables is 1
#ye/y4]uiwf@,The number of syllables is 5
?i6>,The number of syllables is 1
"+~r3u4^ob1{hyyku:a%""",The number of syllables is 6
i[=ajz_?u,The number of syllables is 3
\|aolr&,The number of syllables is 2
qu\khak6e*o.}`u&go`+,The number of syllables is 6
6x8{vi4+(u,The number of syllables is 2
uafcx|'h,The number of syllables is 2
=i,The number of syllables is 1
yf,The number of syllables is 1
7+)d!9<>flye3'0ui,The number of syllables is 4
#r\-j,The number of syllables is 0
?|}/]ai{.x)/ acu:,The number of syllables is 4
#`w,The number of syllables is 0
x,The number of syllables is 0
)u#9o,The number of syllables is 2
>na=*juuxy}:ea?-,The number of syllables is 6
ux2l3ew!au8n8;,The number of syllables is 4
yk-yi>p_!-,The number of syllables is 3
d<y*o'axy_.aq7nw!,The number of syllables is 5
2nioi^g|\3>e,The number of syllables is 4
"'yh{ hye|7b3+#}u/,o",The number of syllables is 5
"_%.""yj%yn8]y4?g",The number of syllables is 3
oeye4*0e1x(,The number of syllables is 5
"0u\h#w-~6""!]'",The number of syllables is 1
27w<zt`p0'%@ley$,The number of syllables is 2
"&&k8$e ""o>i?2cxk",The number of syllables is 3
"""6r",The number of syllables is 0
"l-/hw""9u ",The number of syllables is 1
?e$p,The number of syllables is 1
$eqs5s:,The number of syllables is 1
aiora,The number of syllables is 4
"<1j,1ou>!u:",The number of syllables is 3
u0z,The number of syllables is 1
f*@5y=y'e@anec[@=ar=,The number of syllables is 6
5yaefu?._ur)\u;u=?|w,The number of syllables is 7
"-;}6bis""+",The number of syllables is 1
"8ugy}(a,v",The number of syllables is 3
cyey]o/k]{/fy@+w,The number of syllables is 5
382j-{`r%u8;,The number of syllables is 1
aumb `{@,The number of syllables is 2
]u11q,The number of syllables is 1
uio9,The number of syllables is 3
ahcua%'ac/y(,The number of syllables is 5
l,The number of syllables is 0
1%+o9ah,The number of syllables is 2
we l+,The number of syllables is 1
eu-$eaojyem5,The number of syllables is 7
"hum@b{zy[%=@<\y;""o",The number of syllables is 4
"c,ud\ti}w@ar>*c6y",The number of syllables is 4
.&5f]vaa?,The number of syllables is 2
44kyby*hioe,The number of syllables is 5
~+a|o0++-8i(4;,The number of syllables is 3
4{cyiy(1t+a.5/aj>oy,The number of syllables is 7
e9z1i/,The number of syllables is 2
aya{=a-2e1,The number of syllables is 5
v.r6:t,The number of syllables is 0
z80!z7aaluh</<rt*[,The number of syllables is 3
"}[;.)=,?_</",The number of syllables is 0
^pm4)l,The number of syllables is 0
afqx >!ky*f[?ic,The number of syllables is 3
q]? p=oi|>*$ho,The number of syllables is 3
].,The number of syllables is 0
2iiyo}4>!,The number of syllables is 4
"jahqq,^s9-lu eyrize",The number of syllables is 6
f}yt>o>#e~&.uo{@y#h,The number of syllables is 6
aoi,The number of syllables is 3
o7w)ej',The number of syllables is 2
yysp-3iy%qa9ai,The number of syllables is 7
i9~*o6o/a,The number of syllables is 4
"+a@ym2y&tpb,i",The number of syllables is 4
.r,The number of syllables is 0
"y[*%_:n$?kd/""+",The number of syllables is 1
c-xc,The number of syllables is 0
"p#*t7yije[""8",The number of syllables is 3
z,The number of syllables is 0
u90t!,The number of syllables is 1
i,The number of syllables is 1
s!ha5\3xde.m*y,The number of syllables is 3
p&\uu^o73$]]yuaci|/7,The number of syllables is 7
"s"">d1399li",The number of syllables is 1
~5pbyol+ie?ju!vh*y,The number of syllables is 6
+&|5rmgyyg%evo$#+ea,The number of syllables is 6
"xqajg,7cevu{e*",The number of syllables is 4
/c6_t ,The number of syllables is 0
i5cja5$1},The number of syllables is 2
3\eca.e]z]!4ew! /z,The number of syllables is 4
n%e[eoy.7>;f=t|]i,The number of syllables is 5
`;&\>t}erfor9e~ook]a,The number of syllables is 6
orf?\ym2xn@q,The number of syllables is 2
"a,*y+~;o')23ayx]",The number of syllables is 5
"uhhuu4y0,qez^?)g{",The number of syllables is 5
k}:euycavi' ~y:l-ivy,The number of syllables is 8
a[ie4*$!',The number of syllables is 3
uh->iotnev:,The number of syllables is 4
"(/o0c@#@. eo.y1,!uu",The number of syllables is 6
"""yhgy=:)n",The number of syllables is 2
.#a,The number of syllables is 1
|dpa{w,The number of syllables is 1
13'rio@n`,The number of syllables is 2
e,The number of syllables is 1
y6\0h[}+?`@<,The number of syllables is 1
g4uec`\i,The number of syllables is 3
e0jiku6uy3,The number of syllables is 5
o:i-l~auxres)!;$,The number of syllables is 5
@2?*,The number of syllables is 0
`de,The number of syllables is 1
ood^6zee`0z[x(e*~,The number of syllables is 5
+i{,The number of syllables is 1
opurj>i)l,The number of syllables is 3
"ik+a*""e ah]o%4=\dx2",The number of syllables is 5
aw)mi\~vdyfql4v4>ija,The number of syllables is 5
i_xo~ol`$f|u1,The number of syllables is 4
o@y}-xh=yew,The number of syllables is 4
ilo#z1xo0,The number of syllables is 3
omm,The number of syllables is 1
zgi]uiqhil{s,The number of syllables is 4
lz$q;\@7{j:&,The number of syllables is 0
jgm,The number of syllables is 0
4lq\hl,The number of syllables is 0
xk6*;2v7io5/&,The number of syllables is 2
\#,The number of syllables is 0
"ozx`0h\"",n>i)y4,\`z",The number of syllables is 3
 ylvv+7o@p$yw(exyu;,The number of syllables is 6
y$:=yea-z3*9 i]s,The number of syllables is 5
ftszxs)wqid1f;a#,The number of syllables is 2
f ?eya'|x+ihcj-l43,The number of syllables is 4
"*f2u_~muguioykl{,/",The number of syllables is 6
jg6y!hg4gz>r;i,The number of syllables is 2
o3%<1.y)l0*/-j4i,The number of syllables is 3
{~o@e0(u.o'ptcnj,The number of syllables is 4
"1cpov4ea<r/&,u",The number of syllables is 4
48ao9o6)8y6*,The number of syllables is 4
"z(((e1,:v",The number of syllables is 1
e_uy,The number of syllables is 3
"e}z 6,kdp[x ~z^p 9!'",The number of syllables is 1
gx$4.8#8a0|,The number of syllables is 1
"z,wsko4|767w *)u*",The number of syllables is 2
!o(i$g$i,The number of syllables is 3
6s>ko%*ae()7uh?,The number of syllables is 4
o/}u$<u*8y,The number of syllables is 4
d!=i&4f;u)s&:i]`eyok,The number of syllables is 6
ad*^hn8icydyi[,The number of syllables is 5
3!,The number of syllables is 0
<i|uy0]i+:*a,The number of syllables is 5
1rlre#.iia@,The number of syllables is 4
yl,The number of syllables is 1
eo@g,The number of syllables is 2
=eom2^,The number of syllables is 2
"!""yrzo&!net&ec<o~>oy",The number of syllables is 7
_m*;c?o5=)9qi,The number of syllables is 2
"&u3k(,3 [/t4o?a*y",The number of syllables is 4
#,The number of syllables is 0
ishakeufm^i+3i8yd},The number of syllables is 7
3,The number of syllables is 0
;du()xo7<3/v\+,The number of syllables is 2
6uo^d#0,The number of syllables is 2
=+hycjdc{e,The number of syllables is 2
-em[5,The number of syllables is 1
m=hahel\:nu|%zry,The number of syllables is 4
u&\a,The number of syllables is 2
r8$:e;/$f#%s6ef%ie+,The number of syllables is 4
"liuo,)){u=iuu0y;i2",The number of syllables is 9
gfpoh\oim`uuc*7+ai,The number of syllables is 7
"a-ye""\]t:a?",The number of syllables is 4
8:u(#4oi*a[f1,The number of syllables is 4
yde$e+z,The number of syllables is 3
aii'a-k!#riolu%>1,The number of syllables is 7
"\w(i,biae<2",The number of syllables is 4
 lv{d:e.9,The number of syllables is 1
;oo<c)o%k`0pu&<pp',The number of syllables is 4
y75j>@ 6,The number of syllables is 1
7i} ,The number of syllables is 1
:a5ok{y}joa>e7=xp,The number of syllables is 6
@66a^?ou^;<w|,The number of syllables is 3
"jhzze,e{""v",The number of syllables is 2
"d(yjvxay -7)""g[[",The number of syllables is 3
p)gu9<e{0hn*d\a<,The number of syllables is 3
*=s\9ni:,The number of syllables is 1
`@[g9ayya;,The number of syllables is 4
uy*pg[uao}y\u9y?,The number of syllables is 8
i9os(<$s4,The number of syllables is 2
xo:8ie(9:&5}i,The number of syllables is 4
aa(y$)!,The number of syllables is 3
xoi}o.u%fs0dzule:5iy,The number of syllables is 8
2[1,The number of syllables is 0
oih7v:@o$xotz=y:aece,The number of syllables is 8
.#uy,The number of syllables is 2
l0+0coj3ys(7m }}?,The number of syllables is 2
9%iv^ez&!|{~qi^;q3r,The number of syllables is 3
=o4 v`a*cn6|1oai<)?,The number of syllables is 5
v`as,The number of syllables is 1
d1}['4\\&f,The number of syllables is 0
![ho|mr'c,The number of syllables is 1
"myde&+o^f$!=u""k4",The number of syllables is 4
"i5,r?y~y",The number of syllables is 3
pt@63hx=x'oko:,The number of syllables is 2
loi6y20yoy))p,The number of syllables is 6
"u""kpeu0@it/cnuie3",The number of syllables is 7
\i2,The number of syllables is 1
mic,The number of syllables is 1
-sri5wh}a\i.`$g7i49,The number of syllables is 4
'08o%m,The number of syllables is 1
0lxb\eg}oytc,The number of syllables is 3
om')etfumx2e,The number of syllables is 4
a+i]0:-|v~>6(o,The number of syllables is 3
b,The number of syllables is 0
%zev2v$cx@a.oi y,The number of syllables is 5
|$[^oua_^,The number of syllables is 3
7@j{`(iic9eo,The number of syllables is 4
>j!i70iy,The number of syllables is 3
t],The number of syllables is 0
9.ma3hq'y{ki4!,The number of syllables is 3
(*-3$ux,The number of syllables is 1
"y`[x1""",The number of syllables is 1
2o\o#yjb,The number of syllables is 3
ewv<-y{,The number of syllables is 2
z~+<20@&1;?h}i,The number of syllables is 1
^c1ai,The number of syllables is 2
 >%c|.a,The number of syllables is 1
?i!f0afipqa,The number of syllables is 4
ua+ ,The number of syllables is 2
"~""_zczy#-/o:emevwp",The number of syllables is 4
!4i73inee&k/5a^,The number of syllables is 5
"]ax?io` c@fo6r""",The number of syllables is 4
iipc '#pquuuujs,The number of syllables is 6
"e0- ""[",The number of syllables is 1
ypoa}:`yi+o!,The number of syllables is 6
"ek;)hrgoui<, _o-e.",The number of syllables is 6
" %}:b/~""5io7ee37xy[",The number of syllables is 5
i?u_i3m-o19#3v6q iu,The number of syllables is 6
) oo|`7afjj\+yv\%e;,The number of syllables is 5
9l4e#_,The number of syllables is 1
"5my!""0",The number of syllables is 1
zedi;h*1/+|bna9e=\,The number of syllables is 4
>~,The number of syllables is 0
gc<3jva=;]z?@6_8q,The number of syllables is 1
w9515m=dq+}e3zm>,The number of syllables is 1
";y):uu"")h",The number of syllables is 3
o<`3=`%qam4ut6>$z,The number of syllables is 3
cat[49[{`gb}050s^kg_,The number of syllables is 1
neoqg>5a9pyo@a,The number of syllables is 6
|@^e!@\.,The number of syllables is 1
6!sy! g4t:g;|#}/w,The number of syllables is 1
f{,The number of syllables is 0
]n+[!73b,The number of syllables is 0
x=%m-#]]e[yi_e,The number of syllables is 4
*kgmd&yt:[o[;ei,The number of syllables is 4
_fv^:wyi:n;!,The number of syllables is 2
o*d[o4i-8}lo!y/]:?,The number of syllables is 5
[urie,The number of syllables is 3
`,The number of syllables is 0
(.u+.4#p,The number of syllables is 1
"yy*au}ow?-h@;,r}",The number of syllables is 5
=':;h] x,The number of syllables is 0
#7uv9 )ti,The number of syllables is 2
7=>\6o7\&>u,The number of syllables is 2
ku2)9j=,The number of syllables is 1
b{@v,The number of syllables is 0
o\euy!744yoj,The number of syllables is 6
+'%7eo5,The number of syllables is 2
kt7sbb22exuof`y,The number of syllables is 4
"6yv[-:ozhj+oq,",The number of syllables is 3
u%f!- e420',The number of syllables is 2
"^oew25$+,|}f;:9o[-=",The number of syllables is 3
$ytyy<,The number of syllables is 3
hzxy~`-*f^oa-k0{,The number of syllables is 3
"ex$od``uq$,<ue<)",The number of syllables is 5
w$,The number of syllables is 0
&'bua(b)%i|&0%8u.6z3,The number of syllables is 4
",zn?{*[yo2#y;yer",The number of syllables is 5
s$<n,The number of syllables is 0
y}(*eee[)yau3n,The number of syllables is 7
w/p!|qa,The number of syllables is 1
~/+!d5,The number of syllables is 0
"&a#[3*u%g""~y,ud_a_",The number of syllables is 5
"o3:i?413o""#u}39jzz0&",The number of syllables is 4
68[ow7yr/kpk=s7,The number of syllables is 2
uui^>4 zioe[y x*,The number of syllables is 7
=lyu3z [u+,The number of syllables is 3
w|ky},The number of syllables is 1
o#i,The number of syllables is 2
a4$ea(,The number of syllables is 3
c-.!rpyya8e~o1o#y,The number of syllables is 7
oy/ufdy! c~(1q`^:fnu,The number of syllables is 5
w._ame}^k*=3s~o-,The number of syllables is 3
@q?)y!6_gx,The number of syllables is 1
u?!*?yefzl>[s^,The number of syllables is 3
"9!]:u_icx{?""x~yuoeo6",The number of syllables is 7
")ey|=9""obeu>|90w",The number of syllables is 5
6<t,The number of syllables is 0
"4z7)bahaiu,\j<+",The number of syllables is 4
>yoy; 8so]a~,The number of syllables is 5
$' ei.|v.[=_i~5.,The number of syllables is 3
"{+%7e<3au""yovq",The number of syllables is 5
2iqy&,The number of syllables is 2
!,The number of syllables is 0
"$/&~""!yd^(oyi[%#a",The number of syllables is 5
a4[ee4,The number of syllables is 3
ae@1y`|n&/u,The number of syllables is 4
"{;0-gk3.,x/s*1^9",The number of syllables is 0
*y=#$oy[o$auaiw,The number of syllables is 8
f?:,The number of syllables is 0
**{hngt~n%xs& $,The number of syllables is 0
t#6_3ue9]>,The number of syllables is 2
t}a,The number of syllables is 1
"ex""rd?}&9y~",The number of syllables is 2
3jew,The number of syllables is 1
<0#r`c+q_2d)dle,The number of syllables is 1
=b|;a9}+_ov5ip,The number of syllables is 3
uze.,The number of syllables is 2
"y)((j~nvev@ypl,ay.&",The number of syllables is 5
;a}?|le<s,The number of syllables is 2
n,The number of syllables is 0
(8-0x45ya]{g{o+<cyy,The number of syllables is 5
.ue1&==hiy{+\d,The number of syllables is 4
"aucr,vg&a4+l6#=",The number of syllables is 3
"|y""5& $j/iil`w",The number of syllables is 3
$jaa+mgeibl=,The number of syllables is 4
)q3~aa^'|,The number of syllables is 2
3|g`~s,The number of syllables is 0
l>-,The number of syllables is 0
>i7iee{wy:,The number of syllables is 5
\,The number of syllables is 0
8 %\?iu9,The number of syllables is 2
/l,The number of syllables is 0
ciape_ld~6,The number of syllables is 3
x}y,The number of syllables is 1
"x.s=zhq,wyi1tau",The number of syllables is 4
'}5.a`~&s,The number of syllables is 1
baef4u-'t<z@gi|uh$*,The number of syllables is 5
xf,The number of syllables is 0
f;[;o+u ufzb~k['u,The number of syllables is 4
!i(vu>q,The number of syllables is 2
<{1x|ve. wqu`o?6!\u0,The number of syllables is 4
@qvq1]1~u9puviu?u-1+,The number of syllables is 5
i1\ux &iu*`ai1geai,The number of syllables is 9
e'e]u,The number of syllables is 3
leo \!eo,The number of syllables is 4
{,The number of syllables is 0
iijp`,The number of syllables is 2
fq]s9awuqdi5vz>4}4y>,The number of syllables is 4
ceq|^pftdeg>a,The number of syllables is 3
o%quiaz<;71'w%{ec;_,The number of syllables is 5
"#c&sed.;7of+i"";aot94",The number of syllables is 5
"ou<'17eio}oyu1""4(5x4",The number of syllables is 8
6i,The number of syllables is 1
e4s6__q1i^yo/@ni6 ,The number of syllables is 5
c=g*[?',The number of syllables is 0
oy(_zy)oy,The number of syllables is 5
a;>eg_j@b%x,The number of syllables is 2
ye$ea]ae}`g0\,The number of syllables is 6
(a#q[oia,The number of syllables is 4
+deyu8> t7y^pf<ue~j+,The number of syllables is 6
di6)o&6+be,The number of syllables is 3
^p*ycoaw,The number of syllables is 3
i|sow]ouey'-'7,The number of syllables is 6
tawy(^v8l2<ua,The number of syllables is 4
uoeuurmbo=su3i,The number of syllables is 8
^eoidualloeu@,The number of syllables is 8
o?,The number of syllables is 1
/z/*?8+adu|9+aila,The number of syllables is 5
ume3syayly@'ye2z0,The number of syllables is 8
7,The number of syllables is 0
-!ezb't,The number of syllables is 1
r<,The number of syllables is 0
p4na}f+,The number of syllables is 1
a*+[8i5lrk)ay]1lzy.,The number of syllables is 5
/,The number of syllables is 0
yq9+2e(&<?u-oira[u,The number of syllables is 7
aec0k,The number of syllables is 2
[!c]@kii*m]%r`a<n /j,The number of syllables is 3
"y,h6]4,)2""zu(i7e76yv",The number of syllables is 5
pyo;`:funi1:u}(-,The number of syllables is 5
ehbh~z:v%o8y),The number of syllables is 3
i9o0} ey.^>v&`]`m/$,The number of syllables is 4
paj+=~<mu'etfu~m<pbe,The number of syllables is 5
"'[hug)bly~0(@,+#}",The number of syllables is 2
myus=<|#i#\34(lo-eu9,The number of syllables is 6
ou?yi1iugu,The number of syllables is 7
)s0oywv*]ua,The number of syllables is 4
"polsj#ei..,<iay;.p",The number of syllables is 6
"iu5,q)8wo31+",The number of syllables is 3
!?qou\us!,The number of syllables is 3
8e,The number of syllables is 1
udb#q@c,The number of syllables is 1
\f^i8g_a!k}^=o},The number of syllables is 3
uz{<p,The number of syllables is 1
28iou7^:u28&2\&^-46.,The number of syllables is 4
(,The number of syllables is 0
1aa2/nxba2#>,The number of syllables is 3
}@$/`llho_p1&[^jh,The number of syllables is 1
],The number of syllables is 0
|o/,The number of syllables is 1
5]&?u'+w^o>i=z,The number of syllables is 3
4vu!!2q*3[yb},The number of syllables is 2
ou5&,The number of syllables is 2
ab`)jrg{a)&ax4.)cr@},The number of syllables is 3
gevie%7`7/z[bn'_(zi,The number of syllables is 4
^vdg(iq0m!#ea;ugyx@,The number of syllables is 5
 *ev_pi,The number of syllables is 2
2u}kle50kmy,The number of syllables is 3
|y7y>>|;8b\~c8,The number of syllables is 2
eo,The number of syllables is 2
a1q$!,The number of syllables is 1
enu@yyot[~*@ckx+g=a,The number of syllables is 6
"gd6e7eo8""ezo_u|x",The number of syllables is 6
=ty:y_-#?tq?uhi ],The number of syllables is 4
(i7$oz>86)y !&!)f0jc,The number of syllables is 3
e\ba[,The number of syllables is 2
&ouoglt,The number of syllables is 3
odxo0,The number of syllables is 2
"jv[31<5o/}/bi,cbucu",The number of syllables is 4
&2xe+6a|&la5ju35i{^i,The number of syllables is 6
"ea@7d1^qa""da*+7$i",The number of syllables is 5
1he%@9|4v|by7h,The number of syllables is 2
h a*f%b>sh=o58#1v,The number of syllables is 2
[pa9v\oa1y:cy,The number of syllables is 5
2ouz,The number of syllables is 2
wy3,The number of syllables is 1
{?bp,The number of syllables is 0
jn^x.,The number of syllables is 0
%,The number of syllables is 0
|zg!i8,The number of syllables is 1
"z0zi""0o?@9?p04""v'@",The number of syllables is 2
;_,The number of syllables is 0
/,The number of syllables is 0
uy,The number of syllables is 2
y1;.$_am?y,The number of syllables is 3
"""_.:w}y1|o",The number of syllables is 2
